,'File' Attachments,Edition,Issue,Date,Newspaper,Notes,Place Published,Location,Record Number,Reference Type,Reporter,Short Title,Title,Year,Reference Type,Archive
19,"internal-pdf://3829176420/Arizona republican, November 21, 1891.pdf",,,"November 21, 1891",Arizona Republican,,Residence if Rev. J.L. Pearson,"Phoeniz, Arizona",6003, Newspaper Article,,The Epworth league of the Washington M.E. church,The Epworth league of the Washington M.E. church,N/A,,LOC Conundrum Supper
20,"internal-pdf://0719885380/Arizona weekly journal-miner, February 17, 189.pdf",,,"February 17, 1892",Arizona weekly journal-miner,"Contains eBOF; event is also referenced in Feb 24 issue,",The Elite Restaurant,"Prescott, Arizona",6004, Newspaper Article,,N/A,N/A,"February 16, 1892",,LOC Conundrum Supper
21,"internal-pdf://3616831738/The Athena Press, November 20, 1896.pdf",,,"November 20, 1896",The Athena Press,,N/A,"Athena, Oregon",5953, Newspaper Article,,Christian Sunday School,Christian Sunday School,"December 01, 1896",,LOC Conundrum Supper
22,"internal-pdf://2040651430/The Athena Press, December 15, 1911.pdf",,,15-Dec-11,The Athena Press,,McEwen Building,"Athena, Oregon",5954, Newspaper Article,,Ladies of the Christian Church,Ladies of the Christian Church,16-Dec-11,,LOC Conundrum Supper
23,"internal-pdf://0631704563/The Athena Press, December 08, 1911.pdf",,,8-Dec-11,The Athena Press,Also mentioned December 22.,McEwen Building,"Athena, Oregon",5962, Newspaper Article,,Ladies of the Christian Church,Ladies of the Christian Church,16-Dec-11,,LOC Conundrum Supper
24,"internal-pdf://2426206503/Audubon County journal, October 30, 1913.pdf",,,30-Oct-13,Audubon County journal,Contains eBOF; same event is referenced in the issue from Oct. 23.,League room of the M.E. church,"Exira, Iowa",6192, Newspaper Article,,Methodist Epworth league,Methodist Epworth league,24-Oct-13,,LOC Conundrum Supper
25,"internal-pdf://3455528521/The Baltimore County union, May 08, 1909.pdf",,,8-May-09,The Baltimore County union,,Hunt’s Church,"Sherwood, Maryland",6249, Newspaper Article,,Epworth league,Epworth league,14-May-09,,LOC Conundrum Supper
26,"internal-pdf://1590079439/The Baltimore County union, May 10, 1902.pdf",,,10-May-02,The Baltimore County union,Same event is referenced in the issue from May 17,Church grove,"Poplar, Maryland",6250, Newspaper Article,,Ladies’ Aid society of Camp Chapel M.E. church,Ladies’ Aid society of Camp Chapel M.E. church,21-May-02,,LOC Conundrum Supper
27,"internal-pdf://1630387677/The Barre Daily Times, April 14, 1921.pdf",,,14-Apr-21,The Barre Daily Times,"Mentioned on March 31, and March 30. Was supposed to take place on April 1 but delayed. Menu included on 30 March.",Congregational Church,"Barre, Vermont",6370, Newspaper Article,,N/A,N/A,15-Apr-21,,LOC Conundrum Supper
28,"internal-pdf://1374344037/The Barre Daily Times, December 08, 1915.pdf",,,8-Dec-15,The Barre Daily Times,,EB Chamberlin’s,"Barre, Vermont",6154, Newspaper Article,,Ladies of the Methodist Church,Ladies of the Methodist Church,15-Dec-15,,LOC Conundrum Supper
29,"internal-pdf://1858721857/The Barre Daily Times, February 09, 1910.pdf",,,9-Feb-10,The Barre Daily Times,,N/A,"Barre, Vermont",6282, Newspaper Article,,Ladies’ Aid of the Baptist Society,Ladies’ Aid of the Baptist Society,4-Feb-10,,LOC Conundrum Supper
30,"internal-pdf://0945117270/The Barre Daily Times, January 23, 1919.pdf",,,23-Jan-19,The Barre Daily Times,Also mentioned on January 17 and 20.,Congregational parlor,"Barre, Vermont",6155, Newspaper Article,,Christian Endeavor Society,Christian Endeavor Society,22-Jan-19,,LOC Conundrum Supper
31,"internal-pdf://1505193511/The Barre Daily Times, May 16, 1911.pdf",,,16-May-11,The Barre Daily Times,Also mentioned on May 08.,Town Hall,"Barre, Vermont",6322, Newspaper Article,,The girls of the senior class in the village school,The girls of the senior class in the village school,13-May-11,,LOC Conundrum Supper
32,"internal-pdf://2053999926/The Barre Daily Times, November 18, 1915.pdf",,,18-Nov-15,The Barre Daily Times,Also mentioned November 09.,Church Parlors,"Barre, Vermont",6157, Newspaper Article,,Pansy class and Philathea class,Pansy class and Philathea class,17-Nov-15,,LOC Conundrum Supper
33,"internal-pdf://2639189046/The Barre Daily Times, August 26, 1914.pdf",,,26-Aug-14,The Barre Daily Times,,N/A,"Barre, Vermont",6156, Newspaper Article,,Woman’s Auxilary,Woman’s Auxilary,11-Sep-14,,LOC Conundrum Supper
34,"internal-pdf://0349517442/Barre Evening Telegram, April 12, 1901.pdf",,,12-Apr-01,Barre Evening Telegram,Also mentioned on April 15.,N/A,"Barre, Vermont",6264, Newspaper Article,,Baraca Class of the Baptist Bible School,Baraca Class of the Baptist Bible School,16-Apr-01,,LOC Conundrum Supper
35,"internal-pdf://1734575192/Barre Evening Telegram, March 26, 1900.pdf",,,26-Mar-00,Barre Evening Telegram,,Methodist Church Parlor,"Barre, Vermont",6185, Newspaper Article,,Ladies Aid Society,Ladies Aid Society,29-Mar-00,,LOC Conundrum Supper
36,"internal-pdf://2953234486/The bee, March 21, 1901.pdf",,,21-Mar-01,The bee,Same event is referenced in the issue from March 14; contains 1-2 dishes,New Masonic Temple lodge rooms,"Earlington, Kentucky",6202, Newspaper Article,,Ladies of Earlington,Ladies of Earlington,15-Mar-01,,LOC Conundrum Supper
37,"internal-pdf://3289099765/The bee, September 16, 1910.pdf",,,16-Sep-10,The bee,,Colored Skating Rink,"Earlington, Kentucky",6203, Newspaper Article,,C.M.E. Church,C.M.E. Church,17-Sep-10,,LOC Conundrum Supper
38,"internal-pdf://4084960728/The Bellefontaine Republican, January 07, 1902.pdf",,,7-Jan-02,The Bellefontaine Republican,Menu Included,Town Hall,"Bellefontaine, Ohio",5945, Newspaper Article,,The Methodist Aid Society of Zanesfield,The Methodist Aid Society of Zanesfield,11-Jan-02,,LOC Conundrum Supper
39,"internal-pdf://3130390640/The Bellefontaine Republican, October 22, 1901.pdf",,,22-Oct-01,The Bellefontaine Republican,,I W. Lewis,"Bellefontaine, Ohio",5944, Newspaper Article,,Presbyterian C.E. Society,Presbyterian C.E. Society,24-Oct-01,,LOC Conundrum Supper
40,"internal-pdf://2697728844/Bellows Falls Times, February 18, 1892.pdf",,,"February 18, 1892",Bellows Falls Times,,N/A,"Bellows Falls, Vermont",6373, Newspaper Article,,Y.P.S.C.E.,Y.P.S.C.E.,"February 16, 1892",,LOC Conundrum Supper
41,"internal-pdf://1312994984/Bellows Falls Times, January 17, 1901.pdf",,,17-Jan-01,Bellows Falls Times,,Town Hall,"Bellows Falls, Vermont",6374, Newspaper Article,,Ladies’ Society,Ladies’ Society,16-Jan-01,,LOC Conundrum Supper
42,"internal-pdf://3581917166/Bellows Falls Times, February 25, 1892.pdf",,,"February 25, 1892",Bellows Falls Times,,Town hall,"Bellows Falls, Vermont",6372, Newspaper Article,,Y.P.A.S. of the Unitarian Church,Y.P.A.S. of the Unitarian Church,N/A,,LOC Conundrum Supper
43,"internal-pdf://1129566409/Belmont Chronicle, December 10, 1891.pdf",,,"December 10, 1891",Belmont Chronicle,Menu included,N/A,"St. Clairsville, Ohio",5943, Newspaper Article,,Ladies Aid Society of the M.E. Church,Ladies Aid Society of the M.E. Church,"December 15, 1891",,LOC Conundrum Supper
44,"internal-pdf://4005446149/The Bemidji pioneer, April 16, 1903.pdf",,,16-Apr-03,The Bemidji pioneer,"Contains eBOF; same event is referenced in The daily pioneer, April 30, 1903",N/A,"Bemidji, Minnesota",6281, Newspaper Article,,Modern Samaritans,Modern Samaritans,1-May-03,,LOC Conundrum Supper
45,"internal-pdf://1722060047/The Bennington Evening Banner, April 06, 1904.pdf",,,31-Mar-04,The Bennington Evening Banner,Also mentioned April 01.,Parlors of the congregational church,"Bennington, Vermont",6121, Newspaper Article,,Christian Endeavor Society,Christian Endeavor Society,6-Apr-04,,LOC Conundrum Supper
46,"internal-pdf://3260985861/Semi-Weekly Banner, October 30, 1894.pdf",,,"October 30, 1894",Bennington Semi-Weekly Banner,,Moore’s Hall,"Bennington, Vermont",6120, Newspaper Article,,Congregational Ladies’ Aid Society,Congregational Ladies’ Aid Society,"October 30, 1894",,LOC Conundrum Supper
47,"internal-pdf://2383132802/The Billings gazette, June 28, 1904.pdf",,,28-Jun-04,The Billings gazette,Same event is referenced in the issue from July 1,Church,"Billings, Montana",6295, Newspaper Article,,Baptist Young People,Baptist Young People,1-Jul-04,,LOC Conundrum Supper
48,"internal-pdf://0500037525/Bismarck daily tribune, August 21, 1900.pdf",,,21-Aug-00,Bismarck dailt tribune,,Church,"Bismarck, North Dakota",6412, Newspaper Article,,Ladies of the Presbyterian church,Ladies of the Presbyterian church,6-Sep-00,,LOC Conundrum Supper
49,"internal-pdf://1307565982/Blackfoot news, November 28, 1896.pdf",,,"November 28, 1896",Blackfoot news,,Old Silver Moon Restaurant building,"Blackfoot, Idaho",6087, Newspaper Article,,Members of the Episcopal Sunday school,Members of the Episcopal Sunday school,"December 01, 1896",,LOC Conundrum Supper
50,"internal-pdf://1065311703/Blackfoot news, March 24, 1894.pdf",,,"March 24, 1894",Blackfoot news,,Opera house,"Blackfoot, Idaho",6086, Newspaper Article,,Ladies of the Methodist Aid society,Ladies of the Methodist Aid society,"March 27, 1894",,LOC Conundrum Supper
51,"internal-pdf://2648102642/The Brattleboro Daily Reformer, January 31, 19.pdf",,,31-Jan-18,The Brattleboro Daily Reformer,,Home of Mrs. Farnum,"Brattleboro, Vermont",6130, Newspaper Article,,Larkin Club,Larkin Club,26-Jan-18,,LOC Conundrum Supper
52,"internal-pdf://4013483727/The Brattleboro Daily Reformer, February 13, 1.pdf",,,13-Feb-18,The Brattleboro Daily Reformer,,N/A,"Brattleboro, Vermont",6129, Newspaper Article,,Burlington Council,Burlington Council,N/A,,LOC Conundrum Supper
53,"internal-pdf://1061730689/The Brattleboro Daily Reformer, October 26, 19.pdf",,,26-Oct-15,The Brattleboro Daily Reformer,Also mentioned Oct 30.,Vestry,"Brattleboro, Vermont",6131, Newspaper Article,,Women of the Methodist church,Women of the Methodist church,27-Oct-15,,LOC Conundrum Supper
54,"internal-pdf://1129566407/Burlington Weekly Free Press, April 07, 1892.pdf",,,"April 07, 1892",Burlington Weekly Free Press,,Town Hall,"Burlington, Vermont",6147, Newspaper Article,,YPSCE,YPSCE,"April 01, 1892",,LOC Conundrum Supper
55,"internal-pdf://0304089165/Burlington Weekly Free Press, April 21, 1904.pdf",,,21-Apr-04,Burlington Weekly Free Press,Also mentioned April 28 and May 05.,Baptist Church Vestry,"Burlington, Vermont",6178, Newspaper Article,,Ladies Village Improvement Society,Ladies Village Improvement Society,22-Apr-04,,LOC Conundrum Supper
56,"internal-pdf://2474738228/Burlington Weekly Free Press, December 26, 191.pdf",,,26-Dec-12,Burlington Weekly Free Press,,Morgan Schoolhouse,"Burlington, Vermont",6168, Newspaper Article,,Morgan School,Morgan School,27-Dec-12,,LOC Conundrum Supper
57,"internal-pdf://2953234488/Burlington Weekly Free Press, February 18, 190.pdf",,,18-Feb-09,Burlington Weekly Free Press,,Dining rooms of the Congregational Church,"Burlington, Vermont",6151, Newspaper Article,,Home Circle,Home Circle,18-Feb-09,,LOC Conundrum Supper
58,"internal-pdf://2260289374/Burlington Weekly Free Press, February 26, 189.pdf",,,"February 27, 1896",Burlington Weekly Free Press,,Vestry,"Burlington, Vermont",6170, Newspaper Article,,Christian Endeavor Society,Christian Endeavor Society,"February 26, 1896",,LOC Conundrum Supper
59,"internal-pdf://3802518973/Burlington Weekly Free Press, January 16, 1913.pdf",,,16-Jan-13,Burlington Weekly Free Press,,Jeffersonville Grange,"Burlington, Vermont",6342, Newspaper Article,,Officers of Jeffersonville Grange,Officers of Jeffersonville Grange,14-Jan-13,,LOC Conundrum Supper
60,"internal-pdf://4084960726/Burlington Weekly Free Press, January 26, 1893.pdf",,,"January 26, 1893",Burlington Weekly Free Press,Menu included.,N/A,"Burlington, Vermont",6150, Newspaper Article,,Junior Auxiliary of St Paul’s church,Junior Auxiliary of St Paul’s church,"January 19, 1893",,LOC Conundrum Supper
61,"internal-pdf://4059243598/Burlington Weekly Free Press, June 09, 1892.pdf",,,"June 09, 1892",Burlington Weekly Free Press,,Academy Green,"Burlington, Vermont",6148, Newspaper Article,,The Students of Academy Green,The Students of Academy Green,"June 07, 1892",,LOC Conundrum Supper
62,"internal-pdf://3829176418/Burlington Weekly Free Press, March 01, 1906.pdf",,,1-Mar-06,Burlington Weekly Free Press,,Memorial Hall,"Burlington, Vermont",6174, Newspaper Article,,Ladies’ Aid Society,Ladies’ Aid Society,2-Mar-06,,LOC Conundrum Supper
63,"internal-pdf://3520709982/Burlington Weekly Free Press, March 05, 1908.pdf",,,5-Mar-08,Burlington Weekly Free Press,,Church parlor,"Burlington, Vermont",6172, Newspaper Article,,N/A,N/A,5-Mar-08,,LOC Conundrum Supper
64,"internal-pdf://2009726311/Burlington Weekly Free Press, March 16, 1893.pdf",,,"March 16, 1893",Burlington Weekly Free Press,,N/A,"Burlington, Vermont",6133, Newspaper Article,,N/A,N/A,"March 15, 1893",,LOC Conundrum Supper
65,"internal-pdf://1713258264/Burlington Weekly Free Press, March 30, 1899.pdf",,,"March 30, 1899",Burlington Weekly Free Press,,The church,"Burlington, Vermont",6171, Newspaper Article,,YPSCE,YPSCE,"March 24, 1899",,LOC Conundrum Supper
66,"internal-pdf://3130390637/Burlington Weekly Free Press, November 07, 190.pdf",,,7-Nov-07,Burlington Weekly Free Press,,Mrs. William Byecraft,"Burlington, Vermont",6177, Newspaper Article,,St. Mary’s Guild of the Episcopal Church,St. Mary’s Guild of the Episcopal Church,14-Nov-07,,LOC Conundrum Supper
67,"internal-pdf://3130390638/Burlington Weekly Free Press, September 29, 18.pdf",,,"September 29, 1892",Burlington Weekly Free Press,,N/A,"Burlington, Vermont",6149, Newspaper Article,,YPSCE and Ladies of the Congregational Church,YPSCE and Ladies of the Congregational Church,"October 05, 1892",,LOC Conundrum Supper
68,"internal-pdf://3172686002/Burlington Weekly Free Press, October 24, 1907.pdf",,,24-Oct-07,Burlington Weekly Free Press,,Vestry of the Union Church,"Burlington, Vermont",6176, Newspaper Article,,N/A,N/A,18-Oct-07,,LOC Conundrum Supper
69,"internal-pdf://1369602725/Burlington Weekly Free Press, October 31, 1895.pdf",,,"October 31, 1895",Burlington Weekly Free Press,,E.J. Parmelee,"Burlington, Vermont",6134, Newspaper Article,,N/A,N/A,"October 23, 1895",,LOC Conundrum Supper
70,"internal-pdf://0719885378/Burlington Weekly Free Press, October 17, 1907.pdf",,,17-Oct-07,Burlington Weekly Free Press,,G.A.R. Hall,"Burlington, Vermont",6175, Newspaper Article,,W.R.C,W.R.C,23-Oct-07,,LOC Conundrum Supper
71,"internal-pdf://1734575193/Burlington Weekly Free Press, October 31, 1895.pdf",,,"October 31, 1895",Burlington Weekly Free Press,,Home of E. J. Parmelee,"Burlington, Vermont",6146, Newspaper Article,,N/A,N/A,"October 30, 1895",,LOC Conundrum Supper
72,"internal-pdf://3166533372/Butler Citizen, December 11, 1891.pdf",,,"December 11, 1891",Butler Citizen,,N/A,"Butler, Pennsylvania",5975, Newspaper Article,,W.H. Ritter Esq,W.H. Ritter Esq,"December 05, 1891",,LOC Conundrum Supper
73,"internal-pdf://4098439585/The Caldwell tribune, December 06, 1912.pdf",,,6-Dec-12,The Caldwell tribune,,Fairview school house,"Dixie, Idaho",6085, Newspaper Article,,N/A,N/A,4-Dec-12,,LOC Conundrum Supper
74,"internal-pdf://3442649988/The Caldwell tribune, March 07, 1903.pdf",,,7-Mar-03,The Caldwell tribune,,Odd Fellows’ Hall,"Caldwell, Idaho",6082, Newspaper Article,,Ladies’ Aid society,Ladies’ Aid society,6-Mar-03,,LOC Conundrum Supper
75,"internal-pdf://1588145516/The Cameron County Press, November 14, 1901.pdf",,,14-Nov-01,Cameron County Press,,Old hardware store of Walker Howard & Co.,"Emporium, Pennsylvania",5980, Newspaper Article,,Presbyterian Church,Presbyterian Church,15-Nov-01,,LOC Conundrum Supper
76,"internal-pdf://2511712089/Capital Journal, February 26, 1894.pdf",,,"February 26, 1894",Capital Journal,Mentioned on February 27,N/A,"Salem, Oregon",5959, Newspaper Article,,Young People of the Baptist Church,Young People of the Baptist Church,"February 28, 1894",,LOC Conundrum Supper
77,"internal-pdf://1244316432/Catoctin clarion, November 07, 1895.pdf",,,"November 07, 1895",Catoctin clarion,,Town hall,"Mechanicstown, Maryland",6231, Newspaper Article,,N/A,N/A,"November 07, 1895",,LOC Conundrum Supper
78,"internal-pdf://3182432942/The Cecil Whig, July 12, 1902.pdf",,,12-Jul-02,The Cecil Whig,,"Residence of A.L. Gifford, College Green","Theodore, Maryland",6246, Newspaper Article,,Ebenezer M.E. choir,Ebenezer M.E. choir,12-Jul-02,,LOC Conundrum Supper
79,"internal-pdf://1335354335/The Cecil Whig, October 29, 1892.pdf",,,"October 29, 1892",The Cecil Whig,,Chapel adjoining the church,"Elkton, Maryland",6247, Newspaper Article,,Ladies of West Nottingham Presbyterian Church,Ladies of West Nottingham Presbyterian Church,"November 01, 1892",,LOC Conundrum Supper
80,"internal-pdf://3594751248/The Cecil Whig, September 18, 1920.pdf",,,18-Sep-20,The Cecil Whig,,Farmington,"Elkton, Maryland",6248, Newspaper Article,,Ladies’ Aid of Ebenezer M.E. church,Ladies’ Aid of Ebenezer M.E. church,22-Sep-20,,LOC Conundrum Supper
81,"internal-pdf://3936859991/The Cecil Whig, September 22, 1900.pdf",,,22-Sep-00,The Cecil Whig,Same event is referenced in the issue from September 29,Gilpius’ Rocks,"Elkton, Maryland",6245, Newspaper Article,,Ladies’ Aid society of Bay View,Ladies’ Aid society of Bay View,26-Sep-00,,LOC Conundrum Supper
82,"internal-pdf://0292143959/The Citizen, April 06, 1910.pdf",,,6-Apr-10,The Citizen,,P. O. S. of A. Hall,"Honesdale, Pennsylvania",5968, Newspaper Article,,N/A,N/A,9-Apr-10,,LOC Conundrum Supper
83,"internal-pdf://2499606129/The Citizen, March 01, 1912.pdf",,,1-Mar-12,The Citizen,,High school building,"Honesdale, Pennsylvania",5969, Newspaper Article,,Sterling High School Graduating Class,Sterling High School Graduating Class,1-Mar-12,,LOC Conundrum Supper
84,"internal-pdf://0332238283/The Clarksburg Daily Telegram, March 13, 1909.pdf",,,13-Mar-09,The Clarksburg Daily Telegram,,N/A,"Clarksburg, West Virginia",6431, Newspaper Article,,Young people,Young people,13-Mar-09,,LOC Conundrum Supper
85,"internal-pdf://1528806445/The Clarksburg Telegram, June 25, 1897.pdf",,,"June 25, 1897",The Clarksburg Telegram,,Wilson’s Art Studio,"Clarksburg, West Virginia",6430, Newspaper Article,,Company F. of Goff’s Chapel,Company F. of Goff’s Chapel,"June 29, 1897",,LOC Conundrum Supper
86,"internal-pdf://2444348465/The Coeur d'Alene press, March 04, 1893.pdf",,,"March 04, 1893",The Coeur d’Alene press,“on the European plan”,Graney’s hall,"Coeur d’Alene, Idaho",6084, Newspaper Article,,Ladies of the Methodist Aid society,Ladies of the Methodist Aid society,"March 07, 1893",,LOC Conundrum Supper
87,"internal-pdf://3232328605/The Columbian, April 26, 1892.pdf",,,"April 26, 1892",The Columbian,Menu included,N/A,"Bloomsburg, Pennsylvania",5971, Newspaper Article,,Ladies of the Tunkhannock Baptist Church,Ladies of the Tunkhannock Baptist Church,N/A,,LOC Conundrum Supper
88,"internal-pdf://0653448033/The commonwealth, June 23, 1899.pdf",,,"June 23, 1899",The commonwealth,,Residence of Dr. Hart,"Greenwood, Mississippi",6287, Newspaper Article,,Ladies of the Presbyterian church,Ladies of the Presbyterian church,N/A,,LOC Conundrum Supper
89,"internal-pdf://4087448087/Connecticut western news, February 27, 1908.pdf",,,27-Feb-08,Connecticut western news,Same event is referenced in the issue from March 12,The hall,"Ashley Falls, Connecticut",6053, Newspaper Article,,Epworth league of the M.E. church,Epworth league of the M.E. church,6-Mar-08,,LOC Conundrum Supper
90,"internal-pdf://4022819572/Connecticut western news, April 01, 1909.pdf",,,1-Apr-09,Connecticut western news,Contains eBOF.,N/A,"East Canaan, Connecticut",6052, Newspaper Article,,Endeavor society,Endeavor society,N/A,,LOC Conundrum Supper
91,"internal-pdf://0076065814/Connecticut western news, September 20, 1900.pdf",,,20-Sep-00,Connecticut western news,,Town hall,"Salisbury, Connecticut",6051, Newspaper Article,,Ladies of Christ church,Ladies of Christ church,19-Sep-00,,LOC Conundrum Supper
92,"internal-pdf://2053999928/The Corvallis Gazette, February 03, 1893.png",,,"February 03, 1893",The Corvallis Gazette,Menu included. PDF damaged. Screenshot included. Also mentioned February 10.,Home of Judge Hufford,"Corvallis, Oregon",5951, Newspaper Article,,The Daughters of the King of the Episcopal Church,The Daughters of the King of the Episcopal Church,"February 11, 1893",,LOC Conundrum Supper
93,"internal-pdf://0945117272/The Corvallis Gazette, March 05, 1987.pdf",,,"March 05, 1897",The Corvallis Gazette,,N/A,"Corvallis, Oregon",5950, Newspaper Article,,Ladies of the M.E. Church,Ladies of the M.E. Church,"March 05, 1897",,LOC Conundrum Supper
94,"internal-pdf://0943947735/Corvallis Gazette, March 09, 1906.pdf",,,9-Mar-06,Corvallis Gazette,"Menu included. Mentioned March 02, 06, 09.",WHMS of the First Methodist Church Basement,"Corvallis, Oregon",5952, Newspaper Article,,WHMS of the First Methodist Church,WHMS of the First Methodist Church,6-Mar-06,,LOC Conundrum Supper
95,"internal-pdf://1687926648/The Corvallis Times, February 27, 1906.pdf",,,27-Feb-06,The Corvallis Times,Also mentioned March 13.,M.E. Church Basement,"Corvallis, Oregon",5956, Newspaper Article,,WHMS of the M.E. Church,WHMS of the M.E. Church,6-Mar-06,,LOC Conundrum Supper
96,"internal-pdf://2044897757/Daily Arizona silver belt, April 08, 1909.pdf",,,8-Apr-09,Daily Arizona silver belt,Event also mentioned in the April 02nd issue,Church,"Safford, Arizona",6006, Newspaper Article,,Ladies of the M.E. church,Ladies of the M.E. church,7-Apr-09,,LOC Conundrum Supper
