Unique_Reference_Number,Newspaper,Date,Event_Date,Country,County,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Archive
R_407,Wigan Observer and District Advertiser ,1/27/06,1/28/06,England,Lancashire,Wigan,"Methodist Free Church, king Street","Methodist Free Church, king Street",Rev. G. Dixon Thompson,6d. Each,n/a,n/a,No,,British Newspaper Archives
R_408,Todmorden & District News,10/21/10,10/15/10,England,Yorkshire,Todmorden,Ladies' Auxilary of the Missionary Society,School at Cross-Lane,n/a,n/a,£3,n/a,No,,British Newspaper Archives
R_409,Rochdale Observer ,2/5/16,1/19/10,England,Lancashire,Rochdale,Ladies Guild of the United Methodist Church,United Methodist Church,n/a,n/a,n/a,n/a,No,£13 15s raised by a chocolate club,British Newspaper Archives
R_410,Bradford Daily Telegraph,9/26/03,n/a,England,Yorkshire,Bradford,n/a,West Bowling Rehoboth? P.M Chapel,n/a,n/a,n/a,n/a,Yes,,British Newspaper Archives
R_411,Tomorden Advertiser and Hebden Bridge Newsletter,3/14/13,3/8/13,England,Yorkshire,Todmorden,Ladies [of Hope Baptist School],Hope Baptist School,n/a,n/a,£10 10s,n/a,No,,British Newspaper Archives
R_412,Heywood Advertiser,1/24/13,1/18/13,England,Lancashire,Heywood,Georgetown Wesleyan Mission,Greentown Wesleyan school,Mr James Butterworth,n/a,n/a,n/a,No,proceeds to aid the Million Penny Scheme,British Newspaper Archives
R_413,Heywood Advertiser,10/31/02,10/28/02,England,Lancashire,Heywood,Ladies' Missionary Auxillary of Bethel-street,Bethel-street school,Rev. Dr. and Mrs Irving,n/a,n/a,>100,No,,British Newspaper Archives
R_414,Burnley Express,11/19/13,11/15/13,England,Lancashire,Burnley,Jubilee Primitive Methodist Church,"""At home"" supper (?)",Misses C. Cook and E. Bramald,n/a,n/a,n/a,No,,British Newspaper Archives
R_415,Bradford Daily Telegraph,3/2/02,3/2/02,England,Yorkshire,Bradford,n/a,Chapel in Manchester Road district,n/a,n/a,n/a,n/a,No,,British Newspaper Archives
R_416,Wigan Observer and District Advertiser ,10/17/00,10/10/00,England,Lancashire,Wigan,Wigan Temperance and Rescue Mission,Hope Hall,n/a,n/a,n/a,n/a,No,,British Newspaper Archives
R_417,Wigan Observer and District Advertiser ,2/23/07,2/20/07,England,Lancashire,Wigan,YMCA,YMCA,n/a,n/a,n/a,n/a,No,,British Newspaper Archives
R_418,Leigh Chronicle and Weekly District Advertiser ,12/6/12,12/4/12,England,Lancashire,Leigh,Leigh Primitive Methodist Church,Leigh Primitive Methodist School,Mrs Jeff,n/a,n/a,"""large attendance""",No,,British Newspaper Archives
R_419,Wigan Observer and District Advertiser ,2/7/06,2/5/06,England,Lancashire,Wigan,Methodist Free Church Young People's Institute,Asembly Hall,n/a,n/a,n/a,n/a,No,,British Newspaper Archives
R_420,Todmorden & District News,2/6/14,1/31/14,England,Yorkshire,Todmorden,Bridge-Street Christian Endeavour Society,"""At home"" supper (?)",Mr and Mrs Crabtree,n/a,£2,n/a,No,,British Newspaper Archives
R_421,Nelson Leader,11/6/31,10/31/31,England,Lancashire,Nelson,"Mr Percy Valey, for ""church funds""",Salem School,Mr Percy Valey,n/a,n/a,n/a,No,,British Newspaper Archives
R_422,Newcastle Evening Chronicle,11/4/43,n/a,England,Northumberland,Newcastle,Alnmouth Women's Insitute,n/a,Mrs Warwick and Mrs Nelson,n/a,n/a,n/a,No,,British Newspaper Archives
R_423,Tamworth Herald ,10/31/08,10/28/08,England,Staffordshire,Tamworth,United Methodist Church,Schoolroom [of the United Methodist Church],Rev. F. Cooper,n/a,n/a,n/a,No,,British Newspaper Archives
R_424,Grantham Journal,10/19/10,n/a,England,Lincolnshire,Grantham,n/a,Exchange Hall,"Mrs Firth, Ms Lee, Miss Meads",n/a,n/a ,n/a,No,Funds raised for a vicarage,British Newspaper Archives
R_425,Cheltenham Chronicle,12/8/00,n/a,England,Gloucestershire,Cheltenham,n/a,n/a,n/a,n/a,n/a,n/a,No,"Unclear if this is an event. It discusses the practice, and provides examples of some courses on the menu but no date or specific event referenced.",British Newspaper Archives
R_426,Coventry Herald,3/29/07,3/26/07,England,Warwickshire,Coventry,Warwick Road Literary and Debating Society,Schoolroom ,Mr. O.S. Read,n/a,n/a,n/a,Yes,"Includes some examples of menu items; referred to as a Conundrum tea. Mentioned again in the Coventry Evening Telegraph, 1907-03-27",British Newspaper Archives
R_427,"The Tewkesbury Register, and Agricultural Gazette",10/26/35,n/a,England,Gloucestershire,Tewkesbury,Winchcomb Wesley Guild,Schoolroom,n/a,n/a,n/a,"""large attendance""",No,,British Newspaper Archives
R_428,Burnley Express,11/10/15,11/6/15,England,Lancashire,Burnley,Baptist Sunday School,Baptist Sunday School,n/a,n/a,£6 15s,n/a,No,Conundrum social,British Newspaper Archives
R_429,"The Tewkesbury Register, and Agricultural Gazette",10/27/34,10/23/34,England,Gloucestershire,Tewkesbury,Wesley Guild,Schoolroom,n/a,n/a,n/a,n/a,No,Conundrum social,British Newspaper Archives
R_430,Leigh Chronicle and Weekly District Advertiser ,11/19/09,11/16/09,England,Lancashire,Leigh,Brotherhood Choral Society,Bright Street Mission,n/a,n/a,n/a,"""large attendance""",No,Conundrum social,British Newspaper Archives
R_431,Wigan Observer and District Advertiser ,11/16/16,11/11/16,England,Lancashire,Wigan,"Wesleyan Centenary Effort, 2nd Class Young Ladies",Wesleyan Schoolroom,"Miss Irene Cowling, Miss Alice Pendlebury, Miss Nellie Winnard, Miss Lily Blackledge",n/a,n/a,"""well patronized""",No,Conundrum social,British Newspaper Archives
R_432,Horfield and Bishopston Record and Montepelier & District Free Press,1/28/11,n/a,England,Bristol,Horfield,n/a,Bedminster YMCA,n/a,n/a,n/a,n/a,No,Conundrum social,British Newspaper Archives
R_433,Leigh Chronicle and Weekly District Advertiser ,11/15/12,11/9/12,England,Lancashire,Leigh,United Methodist Church,Plank Lane UMC,n/a,n/a,n/a,"""large attendance""",No,Conundrum social,British Newspaper Archives
