,'File' Attachments,Archive,Attendance,Contains_BOF,Date,Edition,Event_Date,Event_Location,Issue,Location,Newspaper,Notes,Organization_Hosting,Persons,Place Published,Price_Event,Record Number,Reference Type,Reporter,Revenue,Short Title,Title,Unique_Reference_Number,Year,MENU,Coordinates,Citation
10,,Nineteenth Century U.S. Newspapers,,y,1895,,"November 10, 1895",America,,Tennessee State Library and Archives,Memphis Appeal,,,,"Memphis, Tennessee",,GT3016100102,,,,,A Free Dinner,,,"A Free Dinner.
General Passenger ,Agent Heafford of the Chicago, Milwaukee &. St. Paul Railway has issued a clever advertisement for his road in the shape of a bill of fare in enigma. To the first one who sends in to The Commercial Appeal the correct solution will be given a dinner at Gaston's Hotel. If a lady gets it a dinner will be given at Gaston's to her and also to her escort. The correct solution will be given next Sunday.
An enigmatical bill of fare for a dinner served on the dining ears of the Chicago, Milwaukee & St. Paul Railway: 
SOUPS.
Capital of Portugal. Imitation Reptile.
FISH
The Largest Part of Sambo's Feet.
What the Ram said to Harry.
An Express Label. 
GAME. 
A Universal Crown.
Portion of a Mountain Range.
A Tailor's Tool.
To Shrink from Danger.
Little Darlings.
ROAST MEATS.
A genial English Author.
The Country of the Crescent 
Adam's Wife in her Virgin State. 
BOILED MEATS. 
One of Noah's Sons. 
Woman's Best Weapon. 
VEGETAHBLES. 
To Steal Mildly. Complete Upsets. 
What Successful Candidates do this Fall. 
Two Kinds of Toes not found on Man or Beast. 
RELISHES. 
Pertaining to Regions Underground. 
Elevated Felines. Comical Performances. 
Ludicrous Situations. 
PUDDINGS. 
What we would say to Importunate Agents. 
Exactly Perpendicular. 
The Mantle of Winter. 
What we do not like to say to our Creditors. 
PIES. 
To Walk in an Affected Manner. 
Closely Related to the Rural Reservoir. 
FRUITS. 
The Historian's Delight. Water in Motion. 
Small Shot (plural.) Happy Lovers. 
WINES AND LIQUORS. 
The Lover's Address to his Sweetheart. 
The Traveler's Haven. A Couch of Death. 
The Briton's Address to his Queen. 
Pretended Agony.",,"Pretended Agony. ""A Free Dinner."" Memphis Appeal, 10 Nov. 1895, p. 5. Nineteenth Century U.S. Newspapers, https://link.galegroup.com/apps/doc/GT3016100102/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=758b256e"
11,,"Baldwin Library of Historical Children's Literature, George A. Smathers Libraries, University of Florida",,y,1895,,1895,America,,Nineteenth Century Collections Online,"Guess Me: A Curious Collection of Enigmas, Charades, Acting Charades, Double Acrostics, Conundrums, Verbal Puzzles, Hieroglyphics, Anagrams, etc.: Compiled and Arranged by Frederick d'Arros Planche; Illustrated by George Cruikshank and Others",,,Frederick d'Arros Planche,"London, England",,CKUEYG670970773,,,,,An Enigmatical Dinner,,,"XLV. AN ENIGMATICAL DINNER.
First Course: 
(1) A horseÕs toilet; 
(2) What furnishes the best conversation; 
(3) A stupid manÕs cry for mercy; 
(4) A street in Camden Town boiled, and something immaterial fried; 
(6) A pattern husband roast; 
(7) WomanÕs glory soup, removed for
(8) Short Sarah and her young brother;
(9) Some young females;
(10) Dialogue between the kettle and the cat;
(11) A tailorÕs weapon;
(12) Crooked Sally in a pet;
(13) WinterÕs sport and a weapon of war;
(14) removed for a dish which reminds a Cocknet of a carriage rut.
Second Course:
(15) Attendants on royalty;
(16) Practical jokes and cries;
(17) Something superior to undeserved commendation;
(18) Something hardly worth a thought;
(19) An old-fashioned dandy;
(20) Physic snappish;
(21) An eastern country stuffed and roasted.
Dessert:
(22) A mineral, and the best part of a jest;
(23) Nothing like them;
(24)  Dutch princes;
(25) What an informer does to his friends;
(26) Mischief-makers;
(27) Tens of Thousands
Wines:
(28) The Capital of Tuscany;
(29) Counterfeit agony;
(30) Dwelling of a recluse;
(31) SoldierÕs habitation;
(32) The attack of a town;
(33) A high hill;
(34) Station for ships;
(35) A French dukedom;
(36) Watery field;
(37) A season of wildness

Answer-
First Course: 1. Curry; 2. Tongue of brains; 3. Asparagus (O spare a goose!); 4. Spare rib and apple sauce; 5. Brill, plaice, and soles; 6. Lamb roasted; 7. Hare (hair) soup; 8. Sal-lad (salad); 9. Patties; 10. Bubble and squeak; 11. Goose; 12. Stewed celery. Sal-awry in a stew; 13. Skate and pike; 14. A loin of veal (line oÕ wheel).
Second Course: 15. Maids of Honour; 16. Larks and quails; 17. Pudding (ÒSolid pudding is better than empty praiseÓ); 18. Trifle; 19. Macaroni; 20. Rhubarb tart; 21. Turkey.
Dessert: 22. Ice cream; 23. Nonpareils; 24. Oranges; 25. Peaches; 26. Medlars; 27. Plums (100,000 British Pounds, so called).
Wines: 28. Florence; 29. Champagne; 30. Hermitage; 31. Tent; 32. Jack; 33. Mountain; 34. Port; 35. Burgundy; 36. Mead; 37. Madeira (Mad era).",,"Planche, Frederick d'Arros, editor. Guess
 Me: A Curious Collection of Enigmas, Charades, Acting Charades, Double 
Acrostics, Conundrums, Verbal Puzzles, Hieroglyphics, Anagrams, etc.: 
Compiled and Arranged by Frederick d'Arros Planche; Illustrated by 
George Cruikshank and Others. Illustrated by George Cruikshank, Dean and Son, [1895?]. Nineteenth Century Collections Online, https://link.galegroup.com/apps/doc/CKUEYG670970773/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=c67bae46."
12,,19th Century UK Periodicals,,y,1866,,"November 1, 1866",England,,British Library,Merry and Wise: A magazine for Young People.,,,,"London, England",,DX1901678851,,,,,A Puzzle Bill of Fare,,,"A Puzzle Bill of fare.
FIRST COURSE
The divine part of man fried.
Sauce-little creatures.
Imitative soup.
Sauce-man's ruin.
A lean wife roasted.
SECOND COURSE.
The Grand Seignior's dominions.
Sauce-the staff of life.
A blockhead hashed.
Sauce-soft grease.
The ornamental part of the head.
DESSERT.
The drink of the gods, with an outside skin.
Great riches-interferers.
An interesting game, and squirrel's food.
To grieve, and the origin of grief.
A substantial thing, with what grows in the woods.
Married folks--rapid stream. 
The 16th letter joined to every one.

Sides:
Left:
The first temptation.
A stop in music, with wild birdsÕ delight.
Stalks of wheat, with what is seen in the hedges.
Sweet warblers.
A thing of no consequence, what men often want.
A sign of the Zodiac.
A well-powdered head.
Useful birds.
A tailorÕs delight.

Right:
A foreign country.
An unruly member.
A female employment and ye constant follower of man.
The food of Israel.
Small blasts of wind. A fop roasted.
Upstarts stewed.
A silly bird, and the autumnal ornament of trees.
A sincere Dutch prince.
A musical instrument.",,"""A Puzzle Bill of Fare."" Merry and Wise: A magazine for Young People, 1 Nov. 1866, p. 616. 19th Century UK Periodicals, https://link.galegroup.com/apps/doc/DX1901678851/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=d6c38b9d"
13,,Nineteenth Century U.S. Newspapers,,y,1889,,"August 3, 1889",America,,Kansas State Historical Society,Atchison Globe,,,,"Atchison, Kansas",,GT3012297379,,,,,An Enigmatical Feast,,,1. What a gambler risks. 2. The cursed son. 3. An American general's and four- tenths of a British general's name. 4. The destroyer of our race. 5. A letter of the al- phabet. I Resting place for a bird. 7. An islaund 8. A color. 9. An emblem of inno- cence. 10. What a French town is noted for. 11. A tailor's implement. 13. A country.,,"""The Puzzler."" Atchison Globe, 3 Aug. 1889. Nineteenth Century U.S. Newspapers, https://link.galegroup.com/apps/doc/GT3012297379/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=da743be8. Accessed 13 Apr. 2019."
14,,17th and 18th Century Burney Collection,,y,1741,,1741,England,,British Library,Publick Register or The Weekly Magazine.,,,,,,Z2001239391,,,,,An Aenigmatical Representation of Real Entertainement,,,"An Aenigmatical Representation of a real Entertainment.
FIRST COURSE.
Melancholy Soup with crooked Sarah.
Remov'd for a Soldier's staff.
Roasted Furrows. Cutlets undressÕd.
Pride revers'd, in a Pye.
The divine Part of Man boilÕd. A Blockhead hashÕd.
The Leg of a Corncutter boil'd, with Diamond Weights. 
SECOND COURSE. 
Venus's Guides.
A Dutch Prince, in a Pudding. An unruly Member, garnish'd with perpetual Motion.
Move Jack. Part of the Zediac, butter'd. The first Temptation, in a small Blast of Wind.
The Grand Seignor's Dominions larded.
DESSERT.
 The loss of a Wife and the Gain of a Husband, in Jelly. 
Cow's Provender, with half Gooseberries. Some Hundred Thousands.
Sorrowful Apples, with bad Wives round them. 
Busy Bodies. Couples.
The Reward of a Soldier, in Cream. 
LIQUORS. 
The Joke of Puppet Shew, made with Torture, 
A Bottle of Hyp, A Bottle of Hiltop
A Bottle of Bag, A Soldier's Habitation, with a pretty Girl in it
A Bottle of Torbay, A Side Grace Cup, of lamentable Cloathing.",,"""Arts and Culture."" Publick Register or The Weekly Magazine, 1741. 17th and 18th Century Burney Collection, https://link.galegroup.com/apps/doc/Z2001239391/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=b0290c75"
15,,British Library Newspapers,,y,1840,,"January 27, 1840",England,,British Library,Hampshire/Portsmouth Telegraph,,,,"Portsmouth, Hampshire, England",,BB3206029243,,,,,An Intellectual Feast. A Riddle.,,,"AN INTELLECTUAL FEAST.
A Riddle.
FIRST COURSE.
The divine part of a man.
Sauce of little creatures.
Imitative soup.
Sauce of manÕs ruin.
A lean wife.
SECOND COURSE.
The Grand SeigniorÕs dominions.
Sauce of the staff of life.
A young simpleton.
Sauce of soft grease.
The ornamental part of a head.
DESERT[sic].
Food for the gods, with an outside skin.
An interesting game, and food for Squirrels.
To grieve, and the origin of grief.
A material part of a house, and what grows in the wood.
The sixteenth letter added to each.
WINES and SPIRITS.
A high hill.
A neighbouring state.
A cell.
The produce of an animal, with a merry Andrew.
A low tree.

Sides:
Left:
A foreign country.
An unruly member.
A well powdered head.
A root of Israel.
A thing of no consequence.
Stewed upstarts.
The first ruin of man.
A sincere Dutch Prince.
A stalk of wheat with the autumnal beauty of the woods.
A province in France.
A sailorÕs welcome prospect.
The capital of a foreign country.

Right:
A Portuguese Island.
A soldierÕs habitation.
Counterfeit Agony.
Musical Instruments.
A stop in music and wild birdÕs delight.
A foolish bird, with what grows in the hedges.
A sign of the Zodiac.
Some small blasts of air.
Some sweet warblers.
A TailorÕs delight.
Useful birds.
A female employment & a constant follower of man.",,"""AN INTELLECTUAL FEAST."" Hampshire/Portsmouth Telegraph, 27 Jan. 1840. British Library Newspapers, https://link.galegroup.com/apps/doc/BB3206029243/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=0a66434c."
16,,British Library Newspapers,,y,1853,,"January 1, 1853",England,,British Library,Ipswitch Journal,,,,"Ipswich, Suffolk, England",,BA3200055553,,,,,Bill of Fare (partial),,,"73. An unruly member.74. The ornamental part of the head. 75. Married couples. 76. To fret and Eve's teflptation. 72. Unreal agSony. 78.The qoldier's habitatiop., 79. The sailor's joy",,"""LEAVES FROM MY SCRAP BOOK."" Ipswich Journal, 1 Jan. 1853. British Library Newspapers, https://link.galegroup.com/apps/doc/BA3200055553/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=b0e33c64"
17,,Nineteenth Century Collections Online,,y,1869,,"November 1, 1869",England,,British Library,The Gentleman's Journal,,,,"London, England",,HJVZYZ447202786,,,,,An Enigmatical Dinner,,,"IV Ð AN ENIGMATICAL DINNER.
First Course: (1) A horse's toilet; (2) What furnishes the best conversation; (3) A stupid man's cry for mercy; (4) A lean wife, and the ruin of man for sauce; (5) A street in Camden Town boiled, and something immaterial fried; (6) A pattern husband roast ; (7) Woman's glory soup, removed for (8) Short Sarah and her young brother; (9) Some young females; (10) Dialogue between the kettle and the cat ; (11) A tailor's weapon ; (12) Crooked Sally in a pet ; (13) Winter's sport and a weapon of war, removed for a dish which reÂ¬ minds a Cockney of a carriage rut. Second Course: (15) Attendants on royalty; (16) Practical jokes and cries; (17) Something superior to commendation; (18) Something hardly worth a thought; (19) An old-fashioned dandy; (20) Physic snappish; (21) Our ally stuffed and roasted. Dessert : (22) A mineral, and the best part of a jest ; (23) Nothing like them ; (24) Dutch princes ; (25) What an informer does to his friends; (26) Mischief-makers ; (27) Tens of thousands. Wines: (28) The Capital of Tuscany; (29) Counterfeit agony; (30) Dwelling of a recluse; (31) Soldier's habitation; (32) The attack of a town; (33) A high hill; (34) Station for ships; (35) A French dukedom; (36) Watery field; (37) A season of wildness.",,"""VI.â€”An Enigmatical Dinner."" The Gentleman's Journal, vol. I, no. 3, 1869, p. 21+. Nineteenth Century Collections Online, https://link.galegroup.com/apps/doc/HJVZYZ447202786/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=10b3696f"
18,,Nineteenth Century Collections Online,,y,1854,,1854,America,,"Baldwin Library of Historical Children's Literature, George A. Smathers Libraries, University of Florida","Puzzledom: An Original Collection of Charades, Conundrums, Puzzles, and Games",,,"Davis, Porter & Co","Philadelphia, Pennsylvania",,CEMMIP364981254,,,,,The Intellectual Feast,,,"The Intellectual Feast.
FIRST COURSE.
The Divine part of man?
Sauce of little creatures?
Imitation soup?
A lean wife?
Sauce of a manÕs ruin?

SECOND COURSE.
The Grand SeigniorÕs dominions?
Sauce of the staff of life
A young simpleton?
Sauce of soft grease?
The most becoming head-dress?

DESSERT.
Food for the gods, with an outside skin?
An interesting game, and food for squirrels?
To grieve, and the origin of fried?
A material part of a house, and what grows in the hedges?

WINES AND SPIRITS.
A high hill?
A cell?
The produce of an useful animal, and an amusing periodical?
A long tree?

Left:
A foreign country?
An unruly member?
A well-powdered head?

Roots of Israel?
A thing of no consequence?
Stewed upstarts?

The first ruin of man?
A sincere Dutch Prince?
A stalk of wheat, with the autumnal beauty of the woods?
A Province in France?
A sailorÕs welcome prospect?
The capital of a foreign country?

Right:
A Portuguese Island?
A soldiers habitation?
Counterfeit agony?

A stop in music, and wild birdÕs delight?
A foolish bird, with what grows in the hedges?

A sign of the zodiac?
Some blasts of air?
Some sweet warblers?

Useful birds?
A female employment, and a constant follower of man?",,"Davis, Porter & Co. Puzzledom: An Original Collection of Charades, Conundrums, Puzzles, and Games. Davis, Porter & Co., 1866. Nineteenth Century Collections Online, https://link.galegroup.com/apps/doc/CEMMIP364981254/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=9a2b2bc7"
19,,Nineteenth Century U.S. Newspapers,,y,1891,,"August 31, 1891",America,,Wisconsin Historical Society,Milwaukee Daily Sentinel,,,,"Milwaukee, Wisconsin",,GT3003085809,,,,,An Enigmatical Thanksgiving Bill-of-Fare,,,"It is a long time yet until Thanksgiving season, but here is a Thanksgiving bill-of-fare upon which those with an inclination for solving puzzles can exercise their ingenuity. It is called an enigmatical bill-of fare and was conceived down East somewhere and sent to friends of the originators in this city. By substituting each article of food for its equivalent in the enigma a royal dinner can be made out. The bill- of-fare is as follows: 
SOUPS. 
Capital of Portugal. Imitation reptile
FISH. 
Sombre music. 
The largest part of Sambo's feet. 
What the ram said to Harry. 
An express label
GAME. 
A Universal crown. A tailor's tool. To shrink from danger. 
Portion of a mountain range. 
Little darlings. 
ROAST MEATS. 
A genial English author.
Adam's wife in her virgin state. 
The country of the crescent. 
BOILED MEATS. 
One of Noah's sons. Woman's best weapon.
VEGETABLES. 
Two kinds of toes not found on man or beast. 
What successful candidates do this fall. 
To steal mildly. Complete upsets. 
RELISIIES. 
Pertaining to regions underground. 
Elevated felines. Comical performances.
Ludicrous situations. 
PUDDINGS. 
Exactly perpendicular. The mantle of winter.
What we would say to importunate agents. 
What we do not like to say to our creditors. 
PIES. 
To walk in an affected manner. 
Closely related to the rural reservoir.
FRUITS. 
The historian's delight. 
Water in motion. 
Small shot (plural). 
Happy lovers. 
WINES AND LIQUORS. 
The traveler's heven. A conch of death.
The lover's address to his sweetheart.
The BritonÕs address to his queen.
Pretended agony.",,"""Stories of the Street."" Milwaukee Daily Sentinel, 31 Aug. 1891, p. 7. Nineteenth Century U.S. Newspapers, https://link.galegroup.com/apps/doc/GT3003085809/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=ff4d4124"
20,,British Library Newspapers,,y,1831,,"January 12, 1831",England,,British Library,Trewman's Exeter Flying Post.,,,,"Exter, England",,Y3200665511,,,,,An Intellectual Feast: A Riddle,,,"An Intellectual Feast Ð A Riddle
(From the LadiesÕ Pocket Magazine.)
FIRST COURSE.
The divine part of man.
Sauce of little creatures.
Imitation soup.
A lean wife.

SECOND COURSE.
The Grand SeigniorÕs dominions.
Sauce of the staff of life.
A young simpleton.
Sauce of soft grease.
The ornamental part of a head.

The Desert is in our next..

Left:
A foreign country.
An unruly member.
A well-powdered head.
A root of Israel.
A thing of no consequence.
Stewed upstarts.

Right:
A sign of the zodiac.
Some small blasts of air.
Some sweet warblers.
A TailorÕs delight.
Useful Birds.
A female employment, and a constant follower of man.",,"Trewman's Exeter Flying Post, 12 Jan. 1832. British Library Newspapers, https://link.galegroup.com/apps/doc/Y3200665511/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=eb531b97"
21,,19th Century UK Periodicals,,y,1812,,"January 1, 1812",England,,British Library,The Lady's Monthly Museum,,,,"London, England",,DX1901245378,,,,,Intellectual Entertainment: A Riddle,,,"Intellectual Entertainment.
A Riddle.
DINNER.
The divine part of man.
A Blockhead hashed.
A Thing of no consequence.
The ornamental part of a head.
An unruly Member.
The Grand Dominion

DESERT.
A Dutch Prince serene.
The Drink of the Gods, and the outside Skin.
To fret, and EveÕs temptation.

Left
A domestic Fowl, and the Produce of the Hedges
Musical Instruments.
The first Temptation and a gust of wind.
A lean wife.

Right:
One of the signs of the Zodiac.
A TailorÕs Plunder.
Running Streams
Married Folks",,"The Lady's Monthly Museum, 1 Jan. 1812, p. 59. 19th Century UK Periodicals, https://link.galegroup.com/apps/doc/DX1901245378/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=1a783e40"
22,,Eighteenth Century Collections Online,,y,1752,,1752,England,,British Library,"The sports of the muses. Or a minute's mirth for any hour of the day. Containing a select collection of only the best and most approved English and Scotch songs, ballads, and tales; and of the most ingenious and diverting Epigrams, Epitaphs, Riddles, Bons Mots, and other short Pieces of Wit and Humour, by our most celebrated Poets, viz. Spenser, Shakespear, Johnson, Milton, Dryden, Cowley, Waller, Rochester, Roscommon, Buckingham, Congreve, Addison, Steele, Prior, Gay, Parnell, Philips, Swift, Pope, Che-f-d, L-y-n, And Others, whose Names are here prefixed to the several Pieces of which they are the Authors",,,M. Cooper,"London, England",,CW0114771776,,,,,An Aenigmatical Representation of a real Entertainement,,,"An Aenigmatical Representation of a real Entertainment.
FIRST COURSE.
Melancholy Soup with crooked Sarah.
Roasted Furrows. Cutlets undressÕd.
Pride revers'd, in a Pye.
The divine Part of Man boilÕd. A Blockhead hashÕd.
The Leg of a Corncutter boil'd, with Diamond Weights.
SECOND COURSE. 
Venus's Guides.
A Dutch Prince, in a Pudding. An unruly Member, garnish'd with perpetual Motion.
Move Jack. 
Part of the Zodiack, butter'd. The first Temptation, in a small Blast of Wind.
The Grand Seignor's Dominions larded.
DESSERT.
 The loss of a Wife and the Gain of a Husband, in Jelly. 
Cow's Provender, with half Gooseberries. Some Hundred Thousands.
Sorrowful Apples, with bad Wives round them. 
Busy Bodies. Couples.
The Reward of a Soldier, in Cream. 
LIQUORS. 
The Joke of Puppet Shew, made with Torture, A Bottle of Hiltop
A Bottle of Hyp. A Soldier's Habitation, with a pretty Girl in it
A Bottle of Bag. A Side Grace Cup, of lamentable Cloathing.
A Bottle of Torbay.",,"The sports of the muses. Or a minute's mirth for any hour of the day. Containing a select collection of only the best and most approved English and Scotch songs, ballads, and tales; and of the most ingenious and diverting Epigrams, Epitaphs, Riddles, Bons Mots, and other short Pieces of Wit and Humour, by our most celebrated Poets, viz. Spenser, Shakespear, Johnson, Milton, Dryden, Cowley, Waller, Rochester, Roscommon, Buckingham, Congreve, Addison, Steele, Prior, Gay, Parnell, Philips, Swift, Pope, Che-f-d, L-y-n, And Others, whose Names are here prefixed to the several Pieces of which they are the Authors. ... Vol. 2, printed: and sold by M. Cooper, 1752. Eighteenth Century Collections Online, https://link.galegroup.com/apps/doc/CW0114771776/DSLAB?u=crepuq_mcgill&sid=DSLAB&xid=a3a6cad2"
23,,Birmingham_Cadbury Library,,y,MISSING,,MISSING,England,,Birmingham_Cadbury Library,1st course,,,,"London, England",,BOF_8,,,,,1st course,,,"1st Course
Middle:
The Divine part of Man

Sauce of little Creatures

Imitative Soup

Sauce of ManÕs ruin

A lean Wife

Left:
A foreign Country
An unruly Member
A well powdered Head

Right:
A TailorÕs delight
Useful Birds
A female employment & a constant follower of Man

2nd Course

Middle:
The  Grand SeigniorÕs dominions

Sauce of the Staff of life

A young Simpleton

Sauce of soft Grease

The ornamental part of a head

Left:
A root of Israel
A thing of no consequence
Stewed upstarts

Right:
A sign of the Zodiac
Some small blasts of air
Some sweet warblors",,"Cadbury Research Library: Special Collections, University of Birmingham"
24,,Bodleian library,,y,1837?-1851?,,1844,England,,Bodleian Library,Nuts to Crack,,,,"30 Great Sutton Street, Clerkenwell, London, England",,BOF_9,,,,,Nuts to Crack,,,"1of2: 65-90 A BILL OF FARE.
1/3:
DINNER.
The divine part of man

A blockhead, hashed.

A thing of no consequence.

The ornamental part of the head.

An unruly Member

The Grand SeignorÕs Dominions.

Left:
A TailorÕs Plunder.

One of the signs of the Zodiac.

Right:
A lean Wife.

The first temptation, and a gust of wind

DESSERT.
Middle:
A Dutch Prince Serene.

The drink of Gods, and the outside Skin.

To fret, and EveÕs temptation.

Left:
Running Streams.

Married Folks.

Right:
Musical Instruments.

A domestic fowl, and the produce of the Hedges.

WINES, &c.
Middle:
Counterfeit Agony.

An Island in the Atlantic Ocean.

A small tree.

A town in Portugal.

Merry Andrew.

Left:
A SailorÕs Desire.

A Province in France.

Right:
A SoldierÕs Habitation.

A high hill. 2of2: 65Ñ90
O give me for DINNER a Sole and a Crab,
A Hare and a Spare-rib as well;
Some Calves head well hashed, for at that IÕm a dab, 
And a Tongue the remainder to tell.

A small Apple-puff, with some Cabbage to face,
And a Turkey whose sweets I may rifle.
And then just to finish and fill up a space,
I should likeÑyes, I shouldÑsome nice Trifle.

My DESSERT shall be Oranges cooling and sweet, 
With Nectarines, Hautboys, and Pears,
Then Pine-apples, Currants, and Gooseberries meet, 
And all help to soothe a manÕs cares.

As for LIQUORS and WINES, though not given to tope,
I should like to have plenty and good,
With sparkling Champaign let stout Burgundy 
cope,
And Madeira to better the blood.

The Mountain and Tent shall together be placed,
Then Shrub, for I'm quite out of Sherry,
With Lisbon and Port shall the table be graced,
And Punchy to conclude, make us merry.

Thus I'd live, but the cash it would cost makes me 
pause;
Yet I will do so when I can spare it 
And when thus I keep hospitality's laws,
Give me friends undissemembling to share it.",,"Bodleian Library, University of Oxford: John Johnson Collection: Nuts to Crack, fol. 52 (part II), Hieroglyphic Letters folder. http://solo.bodleian.ox.ac.uk/primo-explore/fulldisplay?docid=oxfaleph014705802&context=L&vid=SOLO&search_scope=LSCOP_ALL&tab=local&lang=en_US"
25,,Landis_Valley_Village_and_Farm_Museum,,y,1800-1816,,1808,America,,Landis_Valley_Village_and_Farm_Museum,,,,,"Lancaster, Pennsylvania",,BOF_10,,,,,An Enigmatical Bill of Fare,,,"Left Page:
An Enigmatical Bill of Fare
First Course
Melancholy Soup, with Crooked Sarah
Removed for a SoldierÕs Staff
Roasted Furrows	Cutlers undressÕd
Pride reversÕd in a Pye
The Divine Part of a man boiled	A Blockhead hashÕd
The Leg of a Corn-cutter boilÕd with Diamond Weights

Second Course
VenusÕs Guides
A Dutch Prince in a Pudding		An unruly Member garnishÕd with perpetual motion
Move Jack
Part of the Zodiack butterÕd		The first Temptation in a small Blast
The Grand SigniorÕs Dominions larded

Right Page:
Desert
The Loss of a Wife the Gain of a Husband in Jelly
Cow's Provender, with half Gooseberries. Some Hundred Thousands.
Sorrowful Apples, with bad Wives round them. 
Busy Bodies. Couples.
The Reward of a Soldier, in Cream. 

Liquors
The Joke of Puppet Shew, made with Torture, 		A Bottle of Hiltop	
A Bottle of Hyp, 			A Soldier's Habitation, with a pretty Girl in it
A Bottle of Bag, 			A Side Grace Cup, of lamentable Cloathing.
A Bottle of Torbay, ",,"ÒLandis Valley Village & Farm Museum, Pennsylvania Historical & Museum Commission.Ó "
26,,McGill Library RBSC ,,y,1790-1840,,1815,England,,McGill Library,NO TITLE,,,,"Hooton Pagnell Hall, Doncaster, South Yorkshire, England",,BOF_11,,,,,NO TITLE,,,"1.
Middle:
Move Jack

TaylorÕs Practice

Crooked Sarah

The interior of a sportsman

A female united to a male

An act of industry & what occasions wrinkles

A Baronet

Left:
A part of your shoes stewed

The Grand Seignoirs dominions

What Adam gave to eve

Right:
Henry & what denotes Partnerships

One of the twelve tribes of Israel

What is found in beds joined to Martha

Second course:

A Barren waste and a SportmanÕs Delight

Russian apples sour

A Beau

The first temptation & a slight gust of wind

What Idle people do

A Pudding made of a Dutch Prince

Roasted Furrows

Satan",,McGill RBSC
27,,Project Gutenberg,,y,1867,,1867,America,,Project Gutenberg,"Popular Pastimes for Field and Fireside, by 
Caroline L. Smith",,,,"Springfield, Massachusetts",,BOF_12,,,,,An Enigmatical Dinner,,,"An Enigmatical Dinner
1. The Grand SeigniorÕs Dominions.
2. Two Tailors.
3. An Ornamental part of the Head.
4. An Exquisite and the King of Beasts.
5. A Famous English Wit.
6. A Place where Money is made and Impudence.
7. WomanÕs weapon.
8. A Biped, and to depart.
9. A Cooking Utensil, a Vowel and part of a foot.
10. A Biped from NoahÕs Ark.
11. A TailorÕs Perquisites.

Dessert.
1. A Cold Substance and the Best of Everything.
2. An Island in the Atlantic Ocean.
3. A Cure for Lazy Horses.
4. Pretended Suffering.
5. An Amusing and Talented Periodical.
6. Part of a River in Pennsylvania.
7. To Fret, and the Fruit of Temptation.
8. The Joint of an Animal.
9. Married People.
10. One-Third of Two, and a Firelock.
11. Running Streams.

Answer to Enigmatical Dinner.
1. Turkey.
2. Parsnips.
3. Hare, (hair.)
4. Dandelion, (dandy-lion.)
5. Lamb.
6. Mint-sauce.
7. Tongue.
8. Mangoes.
9. Potatoes.
10. Ham.
11. Cabbage.

Dessert.
1. Ice cream.
2. Maderia, (wine.)
3. Whips.
4. Champagne, (sham-pain.)
5. Punch.
6. Brandy.
7. Pine-apples.
8. Hock.
9. Pears.
10. Trifle.
11. Currants.",,"Title: Popular Pastimes for Field and Fireside
       or Amusements for young and old

Author: Caroline L. Smith

Release Date: April 30, 2016 [EBook #51896]

Language: English - Link - http://www.gutenberg.org/files/51896/51896-h/51896-h.htm#Page_168"
