,'File' Attachments,Archive,Attendance,Contains_BOF,Date,Edition,Event_Date,Event_Location,Issue,Location,Newspaper,Notes,Organization_Hosting,Persons,Place Published,Price_Event,Record Number,Reference Type,Reporter,Revenue,Short Title,Title,Unique_Reference_Number,Year,MENU,Coordinates
10,,BAnQ,,N,"April 27, 1936",,23-Apr-36,Town Hall,,"Island Brook, Quebec, Canada",Sherbrooke Daily Record,,Women's Association,,,,,,,,,,R_5,,,"[-71.4771606, 45.3890901]"
11,,BAnQ,,n,"October 30, 1916",,31-Oct-16,St. James Hall,,"Farnham, Quebec, Canada",Sherbrooke Daily Record,,Ladies of St. James Church,,,,,,,,,,R_25,,,"[-72.974968, 45.2831]"
12,,BAnQ,50,N,"January 13, 1914",,6-Jan-14,Temperance Hall,,"Sherbrooke, Quebec, Canada",Sherbrooke Daily Record,,I.O.G.T.,F. E. Dyer; Homer Ingalls; Rev. F. J. Hayden; Eugene Dyer; Glenna Griggs; Frederick Olmstead,,,,,,19$ CAD,,,R_3,,,"[-71.889038, 45.403271]"
13,,BAnQ,,N,"January 14, 1913",,17-Jan-13,Hurlburd and Stevens' Hall,,"East Farnham, Quebec, Canada",Sherbrooke Daily Record,,Ladies' Aid Society,,,,,,,,,,R_14,,,"[-72.773094, 45.241294]"
14,,BAnQ,,n,"January 21, 1913",,30-Jan-13,I.O.O.F. Hall,,"East Angus, Quebec, Canada",Sherbrooke Daily Record,,Choral Society,,,,,,,,,,R_15,,,"[-71.6594817, 45.4828558]"
15,,BAnQ,,y,"November 16, 1903",,14-Nov-03,Victoria Hall,,"Montreal, Quebec, Canada",Montreal Gazette,References the same event as R_71,Boys' Sunshine Club of Westmount,,,,,,,,,,R_72,,,"[-73.6103642, 45.4972159]"
16,,BAnQ,32,N,"January 21, 1932",,14-Jan-32,"Gordon Terrace, home of Miss Jessie Corey",,"nan, Quebec, Canada",Sherbrooke Daily Record,,Woman's Institue Members,Miss Jessie Corey; Miss McCain; Mrs. Percy Rhicard; Mrs. E. C. Knight; Mrs. Frank Corey; Mr. Lloyd Harris; Miss Dolena Nicholson; Miss Maude Fortin; Mr. Clifford Rhicard; Mrs. F. J. Laraway; Mrs. Raymond Wescott; Miss Sarach Yates; Mr. F. J. Laraway; Billy Rhicard,,,,,,,,,R_13,,,"[-71.8258668, 52.4760892]"
17,,BAnQ,,n,"May 21, 1936",,,,,"Dixville, Quebec, Canada",Sherbrooke Daily Record,"The newspaper mentions that at a certain event ""Plans were then made for a conundrum supper""",Woman's Institue Members,Mrs. Gordon Bellows,,,,,,,,,R_21,,,"[-71.770935, 45.067701]"
18,,BAnQ,,n,"May 30, 1972",,17-May-72,Melbourne Ridge,,"Maricourt, Quebec, Canada",The Sherbrooke Record,Conundrum tea,,Mrs. Anette Malboeuf; Mrs. Lucille Taylor; Mrs. Paul Papineau; Mrs. Real Larochelle; Mrs. Raymond Gifford,,,,,,,,,R_51,,,"[-72.2637526, 45.5636228]"
19,,BAnQ,,N,"December 27, 1932",,21-Dec-32,School room of United Church,,"Cowansville, Quebec, Canada",Sherbrooke Daily Record,,Ladies' Community Guild,,,,,,,,,,R_7,,,"[-72.7480524, 45.207445]"
20,,BAnQ,,N,"December 22, 1914",,"~December 15, 1914",Home residence of hosts,,"Martinville, Quebec, Canada",Sherbrooke Daily Record,,Mr. J. J. Parsons; Mrs. J. J. Parsons,Laurel Merril; Pearl Martin; John Martin,,,,,,~40$ CAD,,,R_6,,,"[-71.714287, 45.278269]"
21,,BAnQ,,n,"November 14, 1907",,20-Nov-19,Orange Hall,,"Shawville, Quebec, Canada",The Equity,,The Ladies' Aid of the Presbyterian Church,,,,,,,,,,R_41,,,"[-76.494713, 45.605872]"
22,,BAnQ,,N,"December 31, 1913",,2-Jan-14,Temperance Hall,,"Sutton, Quebec, Canada",Sherbrooke Daily Record,,,,,,,,,,,,R_8,,,"[-72.6177899, 45.1109765]"
23,,BAnQ,,,"November 14, 1903",,14-Nov-03,Victoria Hall,,"Montreal, Quebec, Canada",Montreal Gazette,,Boys' Sunshine Club of Westmount,,,,,,,,,,R_71,,,"[-73.6103642, 45.4972159]"
24,,BAnQ,,N,"February 02, 1921",,8-Feb-21,Elm Grove Hall,,"West Shefford, Quebec, Canada",Sherbrooke Daily Record,,Ladies' Guild of St. John's Church,,,,,,,,,,R_9,,,"[-72.5645575486166, 45.3642563]"
25,,BAnQ,,n,"May 23, 1936",,,Hall,,"Dixville, Quebec, Canada",Sherbrooke Daily Record,Apparently is the event they planned in the newspaper reference R_21,Woman's Institue Members,,,,,,,7$ CAD,,,R_22,,,"[-71.770935, 45.067701]"
26,,BAnQ,"""very well attended""",n,"November 10, 1913",,31-Oct-13,Foresters' Hall,,"Hatley, Quebec, Canada",Sherbrooke Daily Record,,"Amateur Dramatic and Literary Society, in connection with St. James Church",,,,,,,,,,R_23,,,"[-71.93676, 45.185909]"
27,,BAnQ,,n,"December 15, 1899",,"December 8, 1899",Church basement,,"Farnham, Quebec, Canada",The Sherbrooke Examiner,"Newspaper date is inconsitent, one page writes December 15, the other pages December 11",Methodist Church choir,Mr. McFarlane; Mrs. Jamieson; Mrs. Wm. Nixon; Miss Mitchell; Miss Nixon; Mr. Fraser; Mrs. Fraser; Miss Fraser; Mr. McKay; Miss Eager; Rev. Mr. Henderson; Mr. Pike,,,,,,,,,R_49,,,"[-72.974968, 45.2831]"
28,,BAnQ,,,"November 03, 1894",,,St. James Methodist Church,,"Montreal, Quebec, Canada",Montreal Gazette,,Ladies' Aid Society,,,,,,,,,,R_70,,,"[-73.6103642, 45.4972159]"
29,,BAnQ,,,"November 02, 1925",,31-Oct-25,Boys Home of Montreal on Mountain,,"Montreal, Quebec, Canada",Montreal Gazette,,Boys Home of Montreal on Mountain,,,,,,,,,,R_75,,,"[-73.6103642, 45.4972159]"
30,,BAnQ,,N,"February 07, 1913",,30-Jan-13,,,"East Angus, Quebec, Canada",Sherbrooke Daily Record,,Choral Society,Mrs. C. N. Andrews; Mr. R. McCrae; Mr. H. Thompson; Mr. L. MacKey,,,,,,,,,R_11,,,"[-71.6594817, 45.4828558]"
31,,BAnQ,,n,"February 08, 1899",,,,,"Quebec City, Quebec, Canada",The Quebec Chronicle,"""A recent society fad is called the conundrum supper""",,Mrs. Snaggs; Mr. Snaggs,,,,,,,,,R_46,,,"[-71.2352226, 46.8259601]"
32,,BAnQ,,n,"November 28, 1957",,"~November 27, 1907",Orange Hall,,"Sawville, Quebec, Canada",The Equity,"""50 years ago"" section",The Ladies' Aid of the Presbyterian Congregation,,,,,,,~90$ CAD,,,R_65,,,
33,,BAnQ,,Y,"February 04, 1911",,31-Jan-11,,,"Stanbridge East, Quebec, Canada",Sherbrooke Daily Record,"Both Conundrum Event and Conundrum Tea referenced in newspaper (2 events that follow ione another); Conundrum tea given by ""the young ladies of the society""",Willing Workers,Mrs. E. L. Hodge; Mrs. C. S. Moore; Miss Ethel Struthers; Miss Curie; Master Lawrence Overing; Mrs. Ethel Paquette; Mrs. C. H. Hibbard; Miss Mamie Currie; Rev. R. Y. Overing; Miss Alice McKinney; Mr. G. W. Currigan; Miss Hazel Dyke; Miss Miriam Blinn; Edith Boffin; Rev. Rural Dean Robinson,,,,,,,,,R_10,,"“That may be seen through”; “A popular roll”; “Seashore and superstition”; “A nightmare incubator”; “An industrious insect, A bright color, An animal with a hasty temper”; “The housewife’s job and the monkey’s delight”; “Our forefathers’ staff”; “Quaffs”; “I come before you”; “H-2- O.”; “I’ve been through the mill”; “A chip of the old block.”","[-72.9160073, 45.1215058]"
34,,BAnQ,,n,"September 23, 1903",,19-Sep-03,Hall,,"South Dudswell, Quebec, Canada",The Sherbrooke Examiner,,Miss Pearl Orr,Miss Pearl Orr,,,,,,,,,R_50,,,"[-71.5754826, 45.583817]"
35,,BAnQ,,n,"December 26, 1901",,31-Dec-01,,,"Shawville, Quebec, Canada",The Equity,,"Willing Workers of the Presbyterian Chiurch, Portage du Fort",,,,,,,,,,R_39,,,"[-76.494713, 45.605872]"
36,,BAnQ,,N,"April 01, 1920",,1-Apr-20,Douglas Hall,,"Sherbrooke, Quebec, Canada",Sherbrooke Daily Record,,Philathea class,,,,,,,,,,R_4,,,"[-71.889038, 45.403271]"
37,,BAnQ,,n,,,8-Dec-14,Residence of Mr. and Mrs. J. J. Parsons,,"Martinville, Quebec, Canada",Sherbrooke Daily Record,,The Ladies' Aid; Willing Workers,Mrs. J. J. Parsons; Mr. J. J. Parsons,,,,,,,,,R_24,,,"[-71.714287, 45.278269]"
38,,BAnQ,,,,,"February 2, 1893",St. Mark's Schoolhouse,,"Longueil, Quebec, Canada",Montreal Gazette,,Ladies' Aid Society of St. Marks,,,,,,,,,,R_73,,,"[-72.7119792, 45.442381]"
39,,British Columbia Historical Newspapers,,n,"April 23, 1908",,1-May-08,"Presbyterian church, basement",,"Enderby, British Columbia, Canada",Walker's Weekly,,,,,5 cents,,,,,,,R_53,,,"[-119.1397789, 50.5504793]"
40,,British Columbia Historical Newspapers,"""small attendance""",y,"December 12, 1893",,"December 11, 1893",Wallace Street Methodist Church,,"Nanaimo, British Columbia, Canada","The Daily Telegram, Nanaimo",References same event as R_37,,Messrs. Mailtand and Powers; Miss Doberson; Miss Mebius,,,,,,,,,R_38,,"Greased staff, laborer's strength, Boston's overthrow, bachelor's comfort, spring's offering, skip- per's home, elevated feline, everybody's friend, women's weapon, marble slab,  sailor's delight- three decker, Tanner's fad, ivory manipulators, kisses. 
","[-123.9379719, 49.1637594]"
41,,British Columbia Historical Newspapers,,n,"September 11, 1900",,11-Sep-00,,,"Nelson, British Columbia, Canada","The Tribune, Nelson",,Epworth League of the Methodist Church,,,,,,,,,,R_52,,,"[-117.290039, 49.494891]"
42,,British Columbia Historical Newspapers,Over 200,N,"March 08, 1907",,5-Mar-07,Church hall,,"New Westminster, British Columbia, Canada",The Daily News New Westminster,"References the same event as R_33, R_34, and R_35",St. Andrew's Young People's bible class,Miss Muirhead; Miss Henderson; Miss McMillan; Ben Robb; Messrs. Hederson and Laidlaw; Mrs Corbett,,"""nominal""",,,,"""most satisfactory""",,,R_36,,,"[-122.9108651, 49.205728]"
43,,British Columbia Historical Newspapers,,y,"March 07, 1903",,12-Mar-03,Church,,"Phoenix, British Columbia, Canada",The Phoenix Pioneer,,The Ladies' Aid of the Presbyterian Church,,,5 cents,,,,,,,R_44,,Irish Beauties; Tree Cake; Woman of Grit; Home of the Skipper; Printers’ Horror; Tramp Cake; Old ladies’ delight; Sweets for the sweet; A Little of this is Plenty; Musical notes; Chips of the old block; Son of Noah; Something to Adore; Something to Ring; Tender keys of spring; Tabby’s party; Pride of Boston; No grounds for complaint; Whip Tips; White man’s strength; Spring’s offering; Cool Impudence; Something Hard to Beat; Mineral Cake,"[-123.1097142, 49.2827136]"
44,,British Columbia Historical Newspapers,,n,"November 07, 1919",,1-Nov-19,Old Country Tea Rooms,,"Vancouver, British Columbia, Canada",The British Columbia Federationist,,Junior Labor League (the younger folks of the Federated Labor Party),Miss Gilpha Simons; Mr. Langlois; Miss Annies Cran; Miss V. Wells; E. Pierrot;,,One book or the price of one book,,,,,,,R_29,,,"[-123.1139529, 49.2608724]"
45,,British Columbia Historical Newspapers,,n,"March 07, 1895",,"March 8, 1895","Cedar Hill, in the schoolhouse",,"Victoria, British Columbia, Canada",The Daily Colonist,aware to the novelty of the event,the Ladies' Aid of St. Andrew's church,,,,,,,,,,R_32,,,"[-123.3649533, 48.4283182]"
46,,British Columbia Historical Newspapers,,n,"December 09, 1893",,"December 11, 1893",Wallace Street Methodist Church,,"Nanaimo, British Columbia, Canada","The Daily Telegram, Nanaimo","""Something new and novel in the way of social entertainment""",,,,,,,,,,,R_37,,,"[-123.9379719, 49.1637594]"
47,,British Columbia Historical Newspapers,,n,"March 05, 1907",,5-Mar-07,Church hall,,"New Westminster, British Columbia, Canada",The Daily News New Westminster,References the same event as R_33 and R_34,St. Andrew's Young People's bible class,,,,,,,,,,R_35,,,"[-122.9108651, 49.205728]"
48,,British Columbia Historical Newspapers,"""large crowd""",n,"June 22, 1916",,20-Jun-16,Methodist Church,,"Cranbrook, British Columbia, Canada",The Cranbrook Herald,,Methodist Church,Mr. Nidd; Mrs. Manning; Mrs. Burton; Mr. John Love,,,,,,,,,R_30,,,"[-115.7672772, 49.5107477]"
49,,British Columbia Historical Newspapers,,n,"February 28, 1907",,5-Mar-07,Church hall,,"New Westminster, British Columbia, Canada",The Daily News New Westminster,,St. Andrew's Young People's bible class,,,,,,,,,,R_33,,,"[-122.9108651, 49.205728]"
50,,British Columbia Historical Newspapers,,n,"April 15, 1904",,19-Apr-04,Brick block next to Donaldson's fruit store,,"Grand Forks, British Columbia, Canada",The Evening Sun,A Conundrum tea,The Ladies' Aid of the Presbyterian Church,,,,,,,,,,R_42,,,"[-118.4568507, 49.0271754]"
51,,British Columbia Historical Newspapers,"""large audience""",n,"October 23, 1914",,12-Oct-14,Orange Hall,,"Abbotsford, British Columbia, Canada",The Abbotsford Post,,Ladies' Aid Society,Mr. Reld,,,,,,,,,R_28,,,"[-122.3294792, 49.0521162]"
52,,British Columbia Historical Newspapers,,N,"May 01, 1919",,9-May-19,,,"Kelowna, British Columbia, Canada",Kelowna Record,,The Ladies Aid of the Methodist Church,,,,,,,,,,R_1,,,"[-119.498291, 49.889326]"
53,,British Columbia Historical Newspapers,,n,"January 10, 1907",,11-Jan-07,Residence of Miss Bertha Woodward,,"Nicola, British Columbia, Canada",The Nicola Herald,In honor of hostess' birthday,Miss Bertha Woodward,,,,,,,,,,R_43,,,"[-120.6741487, 50.1616711]"
54,,British Columbia Historical Newspapers,,n,"March 04, 1907",,5-Mar-07,Church hall,,"New Westminster, British Columbia, Canada",The Daily News New Westminster,"References the same event as R_33; ""The Conundrum Supper is quite a novelty in this city""",St. Andrew's Young People's bible class,,,,,,,,,,R_34,,,"[-122.9108651, 49.205728]"
55,,British Columbia Historical Newspapers,,y,"June 07, 1910",,,,,"Prince Rupert, British Columbia, Canada",The Prince Rupert Optimist,,Mary Dawson,Mary Dawson,,"Each dish comes with a price: 5 cents, 5 cents, 1 cent, 15 cents, 2 cents, 5 cents, 3 cents, 2 cents, 5 cents, 3 cents, 2 cents, 1 cent, 2 cents",,,,,,,R_45,,"Son of Noah in thin slices, 5 cents portion (ham). Cold cut talker, 5 cents portion (tongue). Maid of Orleans (molasses taffy), 1 cent. Sorceresses of the desert, 5 and 10 cents (sandwiches). Spinster’s solace, 2 cents (tea). Golden nuggets in white jewel cases, 5 cents each (eggs, any style). Taken in winter and a letter, 3 cents (coffee). A mischievous young goat, 2 cents (butter). Turns over and over, 5 cents (rolls). The first temptation, baked, 3 cents (apples). Uncomfortable predicaments, jumbled, 2 cents (mixed pickles). Nuts that never grew, 1 cent apiece doughnuts). Absorbent marine dainty, 2 cents apiece (sponge cake).","[-130.32549, 54.3126572]"
56,,British Columbia Historical Newspapers,,n,"December 06, 1919",,11-Dec-19,Grace Methodist Church schoolroom,,"Cumberland, British Columbia, Canada",The Cumberland Islander,Event is a Conundrum tea,The Ladies' Aid of Grace Methodist Church,,,25 cents,,,,,,,R_31,,,"[-125.0319702, 49.6184754]"
57,,British Columbia Historical Newspapers,,n,"August 28, 1902",,"~August 25, 1902",Clinton Ave,,"Revelstoke, British Columbia, Canada",The Revelstoke Herald,Contains a joke-riddle connected to slavery,,,,,,,,,,,R_47,,,"[-118.1956709, 50.998045]"
58,,British Newspaper Archives,,No,"February 06, 1914",,1/31/14,"""At home"" supper (?)",,"Todmorden, Yorkshire, England",Todmorden & District News,,Bridge-Street Christian Endeavour Society,Mr and Mrs Crabtree,,,,,,£2.00,,,R_420,,,"[-2.097753, 53.7137251]"
59,,British Newspaper Archives,,No,"November 04, 1943",,,,,"Newcastle, Northumberland, England",Newcastle Evening Chronicle,,Alnmouth Women's Insitute,Mrs Warwick and Mrs Nelson,,,,,,,,,R_422,,,"[-1.61022435440658, 54.9773787]"
60,,British Newspaper Archives,,No,"February 07, 1906",,2/5/06,Asembly Hall,,"Wigan, Lancashire, England",Wigan Observer and District Advertiser ,,Methodist Free Church Young People's Institute,,,,,,,,,,R_419,,,"[-2.630459, 53.6108129]"
61,,British Newspaper Archives,,No,"November 06, 1931",,10/31/31,Salem School,,"Nelson, Lancashire, England",Nelson Leader,,"Mr Percy Valey, for ""church funds""",Mr Percy Valey,,,,,,,,,R_421,,,"[-2.2116469, 53.8363428]"
62,,British Newspaper Archives,,No,"January 04, 1901",,12/28/00,Bamford Congregational School,,"Heywood, Lancashire, England",Heywood Advertiser,"Part of a larger event, total revenue is for the whole event",Bamford Congregational School,Mr. RH Holt,,,,,,£17 total,,,R_398,,,"[-2.7555614, 53.769597]"
63,,British Newspaper Archives,,No,"December 15, 1915",,12/11/15,Zion Baptist Church,,"Rochdale, Lancashire, England",Rochdale Observer ,,Zion Baptist Church,Rev. A. Russel Tomlin,,,,,,,,,R_390,,,"[-2.2903417, 53.6622065]"
64,,British Newspaper Archives,,No,"December 15, 1938",,12/13/38,Church Lane Methodist Schoolroom,,"Banbury, Oxfordshire, England",Banbury Advertiser,Proceeds from the supper and a collection are in aid of Trust funds,Ladies of the [Methodist] Church,,,,,,,,,,R_383,,,"[-1.3402795, 52.0601807]"
65,,British Newspaper Archives,,No,"February 05, 1916",,1/19/10,United Methodist Church,,"Rochdale, Lancashire, England",Rochdale Observer ,£13 15s raised by a chocolate club,Ladies Guild of the United Methodist Church,,,,,,,,,,R_409,,,"[-2.2903417, 53.6622065]"
66,,British Newspaper Archives,"""largely attended""",No,"March 14, 1913",,3/8/13,Hope School,,"Todmorden, Yorkshire, England",Todmorden & District News,,Hope Church,"""Conundrum Warbles""",,,,,,£10.00,,,R_401,,,"[-2.097753, 53.7137251]"
67,,British Newspaper Archives,"""large attendance""",No,"October 26, 1935",,,Schoolroom,,"Tewkesbury, Gloucestershire, England","The Tewkesbury Register, and Agricultural Gazette",,Winchcomb Wesley Guild,,,,,,,,,,R_427,,,"[-2.1549574, 51.9937857]"
68,,British Newspaper Archives,"""very large""",No,"December 11, 1913",,12/3/13,Belle Green Schools,,"Wigan, Lancashire, England",Wigan Observer and District Advertiser ,"Mentioned again on 1913-12-20, text almost identical; PDF not added.",Belle Green Mission,,,,,,,,,,R_400,,,"[-2.630459, 53.6108129]"
69,,British Newspaper Archives,,No,"October 21, 1910",,10/15/10,School at Cross-Lane,,"Todmorden, Yorkshire, England",Todmorden & District News,,Ladies' Auxilary of the Missionary Society,,,,,,,£3.00,,,R_408,,,"[-2.097753, 53.7137251]"
70,,British Newspaper Archives,,No,"March 25, 1892",,1892-03-28,"Wesleyan School, Hill-street, Heywood",,"Heywood, Lancashire, England",Heywood Advertiser,,Young Men's Class [Wesleyan School],WM Booth,,"1s each, half price for children under 12",,,,,,,R_399,,,"[-2.7555614, 53.769597]"
71,,British Newspaper Archives,>100,No,"February 13, 1909",,1/27/09,Ranter?,,"Wigan, Lancashire, England",Wigan Observer and District Advertiser ,,"Independent Methodists, New Springs",,,,,,,,,,R_406,,,"[-2.630459, 53.6108129]"
72,,British Newspaper Archives,,No,"December 04, 1926",,12/1/26,United Methodist Church,,"Burnley, Lancashire, England",Burnley Express,,Ladies of the United Methodist Church,,,,,,,,,,R_393,,,"[-2.2439196, 53.7907262]"
73,,British Newspaper Archives,"""good attendance""",No,"October 04, 1924",,10/1/24,,,"Tamworth, Staffordshire, England",Tamworth Herald ,,Young Ladies' Guild in connection with the United Methodist Church,Mrs. S. Barlow,,,,,,,,,R_386,,,"[-1.6948438, 52.6345819]"
74,,British Newspaper Archives,"""large attendance""",No,"December 06, 1912",,12/4/12,Leigh Primitive Methodist School,,"Leigh, Lancashire, England",Leigh Chronicle and Weekly District Advertiser ,,Leigh Primitive Methodist Church,Mrs Jeff,,,,,,,,,R_418,,,"[-2.3186245, 53.7768013]"
75,,British Newspaper Archives,130,No,"December 06, 1912",,11/30/12,Glazebury Primitive Method School,,"Leigh, Lancashire, England",Leigh Chronicle and Weekly District Advertiser ,"Part of a ""cobweb social""",Ladies [of Glazebury Primitive Method School],Miss Jeff,,,,,,,,,R_403,,,"[-2.3186245, 53.7768013]"
76,,British Newspaper Archives,,No,"October 17, 1900",,10/10/00,Hope Hall,,"Wigan, Lancashire, England",Wigan Observer and District Advertiser ,,Wigan Temperance and Rescue Mission,,,,,,,,,,R_416,,,"[-2.630459, 53.6108129]"
77,,British Newspaper Archives,,No,"October 17, 1912",,10/12/12,Primary department of the Primitive Methodaist Sunday School,,"Wigan, Lancashire, England",Wigan Observer and District Advertiser ,"Mentioned again on 1912-10-19, didn't save PDF of the second. Text is nearly identitical.",Primitive Methodist Sunday School,,,,,,,,,,R_385,,,"[-2.630459, 53.6108129]"
78,,British Newspaper Archives,,No,"October 19, 1910",,,Exchange Hall,,"Grantham, Lincolnshire, England",Grantham Journal,Funds raised for a vicarage,,"Mrs Firth, Ms Lee, Miss Meads",,,,,,n/a ,,,R_424,,,"[-0.6426582, 52.9133829]"
79,,British Newspaper Archives,,No,"January 29, 1909",,1/27/09,Cook-street Church,,"Leigh, Lancashire, England",Leigh Chronicle and Weekly District Advertiser ,,Cook-street School,,,,,,,£2.00,,,R_389,,,"[-2.3186245, 53.7768013]"
80,,British Newspaper Archives,,No,"December 08, 1900",,,,,"Cheltenham, Gloucestershire, England",Cheltenham Chronicle,"Unclear if this is an event. It discusses the practice, and provides examples of some courses on the menu but no date or specific event referenced.",,,,,,,,,,,R_425,,"Examples mentioned: ""An old sailor"" represents salt, ""acids"" lemonade, ""a lady's coiffure"" a bun, ""seashore delights"" sandwiches, ""Neptune's trident"" a fork.","[-2.0711559, 51.8995685]"
81,,British Newspaper Archives,"""excellent""",No,"November 29, 1916",,11/25/16,Sunday school,,"Burnley, Lancashire, England",Burnley Express,,Wesley Guild,Rev. F. E. Walker,,,,,,,,,R_394,,,"[-2.2439196, 53.7907262]"
82,,British Newspaper Archives,,Yes,"March 29, 1907",,3/26/07,Schoolroom ,,"Coventry, Warwickshire, England",Coventry Herald,"Includes some examples of menu items; referred to as a Conundrum tea. Mentioned again in the Coventry Evening Telegraph, 1907-03-27",Warwick Road Literary and Debating Society,Mr. O.S. Read,,,,,,,,,R_426,,"For instance, the beginning of things? -tea; a good spread for a start? -bread and butter; hidden tears? -onions; there's more in this than meets the eye? -sausage roll.","[-1.5796559, 52.34277875]"
83,,British Newspaper Archives,"""very good""",No,"March 28, 1914",,4/19/14,"Central Hall, Station-road, Wigan",,"Wigan, Lancashire, England",Wigan Observer and District Advertiser ,,Ladies committee of the Sunday School Union,,,,,,,"""succinctly satisfactory""",,,R_391,,,"[-2.630459, 53.6108129]"
84,,British Newspaper Archives,"""well attended""",No,"April 07, 1911",,4/1/11,Crimsworth Wesleyan School,,"Todmorden, Yorkshire, England",Todmorden & District News,,Foster-lane Wesleyan Church,Miss Edith Gotten,,,,,,,,,R_384,,,"[-2.097753, 53.7137251]"
85,,British Newspaper Archives,,No,"February 23, 1907",,2/20/07,YMCA,,"Wigan, Lancashire, England",Wigan Observer and District Advertiser ,,YMCA,,,,,,,,,,R_417,,,"[-2.630459, 53.6108129]"
86,,British Newspaper Archives,~100,No,"March 24, 1911",,3/18/11,Cook-street School,,"Leigh, Lancashire, England",Leigh Chronicle and Weekly District Advertiser ,,Cook-street School,,,,,,,£3. 12s. 21d.,,,R_387,,,"[-2.3186245, 53.7768013]"
87,,British Newspaper Archives,,No,"January 28, 1911",,,Bedminster YMCA,,"Horfield, Bristol, England",Horfield and Bishopston Record and Montepelier & District Free Press,Conundrum social,,,,,,,,,,,R_432,,,"[-2.5800957, 51.4918563]"
88,,British Newspaper Archives,,No,"October 27, 1934",,10/23/34,Schoolroom,,"Tewkesbury, Gloucestershire, England","The Tewkesbury Register, and Agricultural Gazette",Conundrum social,Wesley Guild,,,,,,,,,,R_429,,,"[-2.1549574, 51.9937857]"
89,,British Newspaper Archives,,No,"March 14, 1913",,3/8/13,Hope Baptist School,,"Todmorden, Yorkshire, England",Tomorden Advertiser and Hebden Bridge Newsletter,,Ladies [of Hope Baptist School],,,,,,,£10 10s,,,R_411,,,"[-2.097753, 53.7137251]"
90,,British Newspaper Archives,,No,"January 27, 1906",,1/28/06,"Methodist Free Church, king Street",,"Wigan, Lancashire, England",Wigan Observer and District Advertiser ,,"Methodist Free Church, king Street",Rev. G. Dixon Thompson,,6d. Each,,,,,,,R_407,,,"[-2.630459, 53.6108129]"
91,,British Newspaper Archives,"""large attendance""",No,"November 19, 1909",,11/16/09,Bright Street Mission,,"Leigh, Lancashire, England",Leigh Chronicle and Weekly District Advertiser ,Conundrum social,Brotherhood Choral Society,,,,,,,,,,R_430,,,"[-2.3186245, 53.7768013]"
