,Unnamed: 0,Unnamed: 0.1,UN,Riddle,Answer,BOFs containing riddle,Number of times used,Dish,Notes,Hints,BOF_Appearance_Number,Corrosponding eBOF riddle
22,22,22,UR_265,Group of Islands,Sandwiches,"Oakes weekly Republican February 07, 1896; Omaha daily bee February 20, 1891; The Mt. Sterling advocate June 16, 1896; Hot Springs Weekly Star January 23, 1903; The Jersey City news January 20, 1894; The State Rights Democrat April 03, 1891; The Daily Journal April 23, 1903; The morning call January 16, 1893; Wyoming County Times Warsaw March 17, 1892; On the St. Lawrence and Clayton Independent September 20, 1895; Sag-Harbor Express December 21, 1893;",,,,,12.0,
23,23,23,UR_266,What Successful Candidates did (after Last Election),Beets,"Oakes weekly Republican February 07, 1896; The Mt. Sterling advocate June 16, 1896; On the St. Lawrence and Clayton Independent September 20, 1895; Sag-Harbor Express March 04, 1909;",,,,,5.0,UR_156
24,24,24,UR_267,Descended from a Domestic,,"Oakes weekly Republican February 07, 1896",,,,,1.0,
25,25,25,UR_268,Backbone of History,Dates,"Oakes weekly Republican February 07, 1896; Omaha daily bee December 17, 1893; The Jersey City news January 20, 1894; Sag-Harbor Express December 21, 1893;",,Dessert,,,5.0,UR_168
26,26,26,UR_269,"New England Necessity / Brains / Specialty / Boston's Brains / Dear to the Heart of Every Bostonian (once appears ""with apple snow"")",(Pork and) Beans ,"Oakes weekly Republican February 07, 1896; Evening times-Republican October 10, 1906; Kansas City journal March 05, 1899; The Saint Paul globe October 09, 1896; Juniata Sentinel and Repbulican May 18, 1892; Evening times-Republican October 10, 1906; Evening Capital Journal March 26, 1892; Virginian-Pilot October 25, 1899; The Herald-Advance May 06, 1892; Belmont Chronicle December 10, 1891; The Madisonian February 22, 1896; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; The Dickinson press February 13, 1892; The Paducah daily sun February 12, 1898; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893; St. Paul daily globe January 04, 1892; The morning call January 16, 1893; The Press October 29, 1891; Ithaca Daily Journal September 28, 1898; Watertown Times December 02, 1891; Chatham Courier February 26, 1913; On the St. Lawrence and Clayton Independent September 20, 1895; The Daily News Batavia November 11, 1892; The East Hampton Star November 18, 1898; Cortland Standard February 19, 1901; The County Review Riverhead May 18, 1923; The Daily News Batavia February 19, 1914;",,,,,31.0,
27,27,27,UR_270,Conglomerate Sweetness / Celebrated Conglomerates / Solid Sweetness??,,"Oakes weekly Republican February 07, 1896; The Portland daily press November 22, 1895; The Elizabethtown Post November 23, 1893;",,,,,4.0,
28,28,28,UR_271,Elevated Felines,Catsup,"Oakes weekly Republican February 07, 1896; Omaha daily bee December 17, 1893; The Herald-Advance May 06, 1892; The Jersey City news January 20, 1894; The Jersey City news April 05, 1893; The Daily Journal April 23, 1903; The Columbian April 26, 1892; The Daily Telegram, Nanaimo December 12, 1893; Gouverneur Free Press March 11, 1896; Sag-Harbor Express December 21, 1893; The Elizabethtown Post November 23, 1893; The Amherstburg Echo March 2, 1894; ",,,,,12.0,UR_159
29,29,29,UR_272,An Eastern Delicacy / Eastern Salutation,Cocunut Cake,"Oakes weekly Republican February 07, 1896; Bellows Falls times May 02, 1901; The Ravalli Republican February 24, 1897; Belmont Chronicle December 10, 1891; The Columbian April 26, 1892; Sag-Harbor Express March 04, 1909;",,,,,7.0,
30,30,30,UR_273,Broken Staff,,"Wood County reporter February 08, 1906",,,,,1.0,
31,31,31,UR_274,A Fruit / Vegetable Compound,,"Wood County reporter February 08, 1906; Williston graphic April 03, 1896;",,,,,3.0,
32,32,32,UR_275,Tree Cake,Nut. Either Coconut or Chocolate,"Wood County reporter February 08, 1906; The record-union March 15, 1892; Evening times-Republican October 10, 1906;  Belmont Chronicle December 10, 1891; Omaha daily bee December 17, 1893; Juniata Sentinel and Repbulican May 18, 1892; Norwich bulletin October 20, 1910; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; Las Vegas free press April 09, 1892; The Phoenix Pioneer March 07, 1903; The Daily News Batavia November 11, 1892; Facts and Fallacies March 23, 1916; The Northern Advance April 7, 1898; ",,,,,14.0,
33,33,33,UR_276,A Fruit of the Vine,Pickles / Cucumber,"Wood County reporter February 08, 1906; The record-union March 15, 1892; Evening times-Republican October 10, 1906;  Belmont Chronicle December 10, 1891; Omaha daily bee December 17, 1893; Juniata Sentinel and Repbulican May 18, 1892; Norwich bulletin October 20, 1910; The Madisonian February 22, 1896; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893; Las Vegas free press April 09, 1892; The Jersey City news April 05, 1893; The Daily Journal April 23, 1903; The Bellefontaine Republican January 07, 1902; St. Paul daily globe January 04, 1892; The Columbian April 26, 1892; Fort Pierce news April 22, 1910; The Daily Sentinel April 14, 1900; The Medina Tribune November 08, 1894; Watertown Times December 02, 1891; Wyoming County Times Warsaw March 17, 1892; The Brookfield Courier March 02, 1898; Norwood News January 27, 1903; On the St. Lawrence and Clayton Independent September 20, 1895; The Daily News Batavia November 11, 1892; The Malone Palladium November 03, 1892; Facts and Fallacies March 23, 1916; The Amherstburg Echo March 2, 1894
",,,,,29.0,
34,34,34,UR_277,An Unruly Member,Tongue,"The record-union March 15, 1892; Evening times-Republican October 10, 1906; Omaha daily bee December 17, 1893; The daily morning journal and courier March 11, 1901; Grand Rapids herald May 15, 1892; Evening times-Republican October 10, 1906; Morning journal and courier February 24, 1893; The Madisonian February 22, 1896; St. Johnsbury Caledonian February 21, 1896; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Paducah daily sun February 12, 1898; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893; The Daily News Batavia November 11, 1892;",,,,,18.0,UR_7
35,35,35,UR_278,Pride of Boston / Boston Relish / Boston's Favorites / Boston's Boast / Boston's Glory / What Boston Swears By,Brown Bread / Baked Beans,"The record-union March 15, 1892; Arizona republican March 05, 1903; Crawford avalanche September 08, 1892;  The true northerner April 05, 1895; St Johnsbury Caledonian September 27, 1911; Morning journal and courier May 21, 1894; The Harlowton news August 05, 1910; Las Vegas free press April 09, 1892; Connecticut western news April 01, 1909; The Columbian April 26, 1892; The Phoenix Pioneer March 07, 1903; Wyoming County Times Warsaw March 17, 1892; Sag-Harbor Express March 04, 1909; The Daily Leader Gloversville November 17, 1892; The Elizabethtown Post November 23, 1893; Bassano News June 24, 1910; The Northern Advance April 7, 1898; ",,,,,17.0,
36,36,36,UR_279,April Blossoms,Potato Salad,"The record-union March 15, 1892; Las Vegas free press April 09, 1892;",,,,,3.0,
37,37,37,UR_280,Heart Throbs in Vinegar,,"Audubon County journal October 30, 1913;",,,,,2.0,
38,38,38,UR_281,Impertinences,"Sauces / Sances ?? Check Las Vegas free press April 09, 1892;","The record-union March 15, 1892; Corvallis Gazette March 09, 1906; The Herald-Advance May 06, 1892; Fort Worth Gazette February 05, 1892; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; The Harlowton news August 05, 1910; Las Vegas free press April 09, 1892; The Daily Sentinel April 14, 1900;",,,,,10.0,
39,39,39,UR_282,Nature's / April's / Spring's Offering / Greeting,Water,"The record-union March 15, 1892; Bellows Falls times May 02, 1901; The Red Cloud chief May 03, 1901; The daily telegram August 28, 1908; Crawford avalanche September 08, 1892; Evening times-Republican October 10, 1906; Omaha daily bee December 17, 1893; The Newport Miner June 10, 1909; Audubon County journal October 30, 1913; St Johnsbury Caledonian September 27, 1911; Kansas City journal March 05, 1899; Corvallis Gazette March 09, 1906; The Saint Paul globe October 09, 1896; Grand Rapids herald May 15, 1892; Evening times-Republican October 10, 1906; Evening Capital Journal March 26, 1892;  The Herald-Advance May 06, 1892; Evening journal June 05, 1913; The Pensacola journal February 24, 1907; The Windham County Reformer December 06, 1895; Belmont Chronicle December 10, 1891; The Madisonian February 22, 1896; St. Johnsbury Caledonian February 21, 1896; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Dickinson press February 13, 1892; The Paducah daily sun February 12, 1898; Mrs. Grundy February 12, 1914; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; The Harlowton news August 05, 1910; Burlington Weekly Free Press January 26, 1893; Las Vegas free press April 09, 1892; Connecticut western news April 01, 1909; The Daily Journal April 23, 1903; The Bellefontaine Republican January 07, 1902; St. Paul daily globe January 04, 1892; The Columbian April 26, 1892; Fort Pierce news April 22, 1910; Willmar tribune April 20, 1897; Ithaca Daily Journal September 28, 1898; The Medina Tribune November 08, 1894; Watertown Times December 02, 1891; The Daily Telegram, Nanaimo December 12, 1893; The Phoenix Pioneer March 07, 1903; Wyoming County Times Warsaw March 17, 1892; Chatham Courier February 26, 1913; The Brookfield Courier March 02, 1898; On the St. Lawrence and Clayton Independent September 20, 1895; The Daily News Batavia November 11, 1892; The East Hampton Star November 18, 1898; Cortland Standard February 19, 1901; The Malone Palladium November 03, 1892; Facts and Fallacies March 23, 1916; The Elizabethtown Post November 23, 1893; The Morning Albertan September 20, 1909; The Amherstburg Echo March 2, 1894; The Northern Advance April 7, 1898; ",,,,,59.0,
40,40,40,UR_283,Lay of the Last Minstrel,Deviled Eggs,"The record-union March 15, 1892; Crawford avalanche September 08, 1892; Virginian-Pilot October 25, 1899; The Jersey City news April 05, 1893;",,,,,5.0,
41,41,41,UR_284,Boston's Overthrow,Tea,"The record-union March 15, 1892; Omaha daily bee February 20, 1891; Bellows Falls times May 02, 1901; The Red Cloud chief May 03, 1901; Crawford avalanche September 08, 1892; Evening times-Republican October 10, 1906; Omaha daily bee December 17, 1893; The daily morning journal and courier March 11, 1901; Kansas City journal March 05, 1899; Corvallis Gazette March 09, 1906; The Saint Paul globe October 09, 1896; Juniata Sentinel and Repbulican May 18, 1892; Fergus County argus May 18, 1904; Evening times-Republican October 10, 1906; The Portland daily press November 22, 1895; Evening Capital Journal March 26, 1892; Virginian-Pilot October 25, 1899; Norwich bulletin October 20, 1910; The Pensacola journal February 24, 1907; The Windham County Reformer December 06, 1895; Morning journal and courier February 24, 1893; Belmont Chronicle December 10, 1891; The Madisonian February 22, 1896; St. Johnsbury Caledonian February 21, 1896; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Dickinson press February 13, 1892; The Paducah daily sun February 12, 1898; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893; Las Vegas free press April 09, 1892; The Jersey City news January 20, 1894; The State Rights Democrat April 03, 1891; St. Paul daily globe January 04, 1892; The Columbian April 26, 1892; The morning call January 16, 1893; The Daily Sentinel April 14, 1900; Ithaca Daily Journal September 28, 1898; The Medina Tribune November 08, 1894; The Daily Telegram, Nanaimo December 12, 1893; Chatham Courier February 26, 1913; The Daily News Batavia November 11, 1892; The East Hampton Star November 18, 1898; The Daily News Batavia February 19, 1914; Facts and Fallacies March 23, 1916; The Evening Gazette Port Jarvis May 23, 1923; The Elizabethtown Post November 23, 1893; The Morning Albertan September 20, 1909; The Amherstburg Echo March 2, 1894; ",,Drinks,,,51.0,
42,42,42,UR_285,One of Noah's Sons / Descendant of Noah / Near Relative / Slice of Noah’s Kid,Ham,"The record-union March 15, 1892; Omaha daily bee February 20, 1891; Bellows Falls times May 02, 1901; The Red Cloud chief May 03, 1901; Crawford avalanche September 08, 1892; Evening times-Republican October 10, 1906; Omaha daily bee December 17, 1893; The daily morning journal and courier March 11, 1901; Kansas City journal March 05, 1899; Corvallis Gazette March 09, 1906; The Saint Paul globe October 09, 1896; Juniata Sentinel and Repbulican May 18, 1892; Fergus County argus May 18, 1904; Evening times-Republican October 10, 1906; The Portland daily press November 22, 1895; Evening Capital Journal March 26, 1892; Virginian-Pilot October 25, 1899; Norwich bulletin October 20, 1910; The Pensacola journal February 24, 1907; The Windham County Reformer December 06, 1895; Morning journal and courier February 24, 1893; Belmont Chronicle December 10, 1891; The Madisonian February 22, 1896; St. Johnsbury Caledonian February 21, 1896; The aegis & intelligencer December 16, 1892; The Corvallis Gazette February 03, 1893; Fort Worth Gazette February 05, 1892; The Dickinson press February 13, 1892; The Paducah daily sun February 12, 1898; Arizona weekly journal-miner February 17, 1892; The herald February 17, 1893; Burlington Weekly Free Press January 26, 1893; Connecticut western news April 01, 1909; Fort Pierce news April 22, 1910; The Phoenix Pioneer March 07, 1903; The Prince Rupert Optimist June 07, 1910; The Plattsburgh Sentinel April 15, 1910; Norwood News January 27, 1903; Sag-Harbor Express March 04, 1909; The County Review Riverhead May 18, 1923; The Evening Gazette Port Jarvis May 23, 1923; The Amherstburg Echo March 2, 1894; The Northern Advance April 7, 1898; The Kingsville Reporter January 8, 1931; ",,,,,44.0,UR_152
43,43,43,UR_286,No Grounds for Complaint,Coffee,"The record-union March 15, 1892; The daily telegram August 28, 1908; The true northerner April 05, 1895; The daily morning journal and courier March 11, 1901; The aegis & intelligencer March 15, 1901; Audubon County journal October 30, 1913; St Johnsbury Caledonian September 27, 1911; Corvallis Gazette March 09, 1906; Morning journal and courier May 21, 1894; Evening journal June 05, 1913; Las Vegas free press April 09, 1892; The Jersey City news January 20, 1894; Fort Pierce news April 22, 1910; The Phoenix Pioneer March 07, 1903; Bassano News June 24, 1910; The Morning Albertan September 20, 1909; ",,,,,16.0,
44,44,44,UR_287,Prairie Flower / Produce (raised in town),Wheat Bread,"The record-union March 15, 1892; Williston graphic April 03, 1896; The Herald-Advance May 06, 1892; Las Vegas free press April 09, 1892; Fort Pierce news April 22, 1910;",,,,,6.0,
45,45,45,UR_288,Raised in Town,,"The record-union March 15, 1892; The Herald-Advance May 06, 1892;",,,,,3.0,
46,46,46,UR_289,Tramp Cake TK,Sponge Cake,"The record-union March 15, 1892; Arizona weekly journal-miner February 17, 1892; Las Vegas free press April 09, 1892; The Phoenix Pioneer March 07, 1903; The Northern Advance April 7, 1898; ",,,,,5.0,
47,47,47,UR_290,Frozen Tree,,"The record-union March 15, 1892",,,,,1.0,
48,48,48,UR_291,What Some People Don't Know,Beans,"The record-union March 15, 1892; Bellows Falls times May 02, 1901; Omaha daily bee December 17, 1893; Audubon County journal October 30, 1913; Fergus County argus May 18, 1904; Las Vegas free press April 09, 1892; Hot Springs Weekly Star January 23, 1903; The Daily Journal April 23, 1903; Fort Pierce news April 22, 1910; Facts and Fallacies March 23, 1916; The Northern Advance April 7, 1898; ",,,,,11.0,
49,49,49,UR_292,Cake Hard to Beat,Marble Cake,"The record-union March 15, 1892; Arizona weekly journal-miner February 17, 1892; Las Vegas free press April 09, 1892; The Bellefontaine Republican January 07, 1902; The Phoenix Pioneer March 07, 1903;",,,,,6.0,
50,50,50,UR_293,Helmet Cake,,"The Globe-republican March 16, 1899",,,,,1.0,
51,51,51,UR_294,Murphy Mixture / Murphy Tumbling on the Green,,"The Globe-republican March 16, 1899; The Holbrook news August 06, 1920;",,,,,3.0,
52,52,52,UR_295,Old Hickory,,"The Globe-republican March 16, 1899",,,,,1.0,
53,53,53,UR_296,Circus Rings,,"The Globe-republican March 16, 1899",,,,,1.0,
54,54,54,UR_297,Vegetable Mixture,,"The Globe-republican March 16, 1899",,,,,1.0,
55,55,55,UR_298,Greased Rye,,"The Globe-republican March 16, 1899",,,,,1.0,
56,56,56,UR_299,A Soft Case,,"The Globe-republican March 16, 1899",,,,,1.0,
57,57,57,UR_300,Sunnyrise Springs,,"The Globe-republican March 16, 1899",,,,,1.0,
58,58,58,UR_301,Devil's Food,Cake,"The Globe-republican March 16, 1899; Kansas City journal March 05, 1899; The Morning Albertan September 20, 1909; ",,,,,3.0,
59,59,59,UR_302,Crystal Clear,,"The Globe-republican March 16, 1899; The Portland daily press November 22, 1895; Perrysburg Journal November 21, 1891; The Gilboa Monitor October 07, 1897;",,,,,5.0,
60,60,60,UR_303,Greased Necessity,,"The Globe-republican March 16, 1899",,,,,1.0,
61,61,61,UR_304,Angel's Food,Cake,"The Globe-republican March 16, 1899; Kansas City journal March 05, 1899;",,,,,3.0,
62,62,62,UR_305,Free From Odor,,"The Globe-republican March 16, 1899",,,,,1.0,
63,63,63,UR_306,Engagement Signet,,"The Globe-republican March 16, 1899",,,,,1.0,
64,64,64,UR_307,Rex Pie,,"The Globe-republican March 16, 1899",,,,,1.0,
65,65,65,UR_308,A Style of Shoe,,"The Globe-republican March 16, 1899",,,,,1.0,
66,66,66,UR_309,Love's Diet,,"The Globe-republican March 16, 1899",,,,,1.0,
67,67,67,UR_310,Edith's Dislike,,"The Globe-republican March 16, 1899",,,,,1.0,
68,68,68,UR_311,Bean Soup,,"The Globe-republican March 16, 1899; Audubon County journal October 30, 1913;",,Drinks,,,3.0,
69,69,69,UR_312,Dry Paste,,"The Globe-republican March 16, 1899",,,,,1.0,
70,70,70,UR_313,Willie's Choice / What Willie's Hoop Did,Rolls,"The Globe-republican March 16, 1899; Sag-Harbor Express March 04, 1909;",,,,,3.0,
71,71,71,UR_314,Light Substance,,"The Globe-republican March 16, 1899",,,,,1.0,
72,72,72,UR_315,Green Hawkeyes,,"The Globe-republican March 16, 1899",,,,,1.0,
73,73,73,UR_316,Sweet Mash,,"The Globe-republican March 16, 1899",,,,,1.0,
74,74,74,UR_317,I Know that Some People Condemn Me. Yet a Host of Admirers Defend me. At Daybreak O'er All this Fair Land.,,"East Oregonian March 10, 1905",,,,,1.0,
75,75,75,UR_318,"From the Tropics I come, To Cold I'm a Stranger; Tho' Far from Home, I'm a Good Entertainer",,"East Oregonian March 10, 1905",,,,,1.0,
76,76,76,UR_319,Only a Letter from Mother,Tea?,"East Oregonian March 10, 1905",,,,,1.0,
77,77,77,UR_320,Pig in the Wheat / A Whale in a Wheat Field,,"East Oregonian March 10, 1905; The Holbrook news August 06, 1920;",,,,,3.0,
78,78,78,UR_321,"Neither Coke nor Fake, But a Combination of the two",Cake,"East Oregonian March 10, 1905",,,,,1.0,
79,79,79,UR_322,"T ""Hokey"" Pair",,"East Oregonian March 10, 1905",,,,,1.0,
80,80,80,UR_323,Three-Fourths of the Earth's Surface / (Three-Fourths of Land and a Woman's Name?),Water?,"East Oregonian March 10, 1905; Morning journal and courier May 21, 1894; The Newtown bee August 31, 1894; The Daily Leader Gloversville November 17, 1892;",,,,,5.0,
81,81,81,UR_324,A Useful but Decaying Member: To Select,,"East Oregonian March 10, 1905",,,,,1.0,
82,82,82,UR_325,A Region beyond the 'Rhine' / Under the Rhine,,"East Oregonian March 10, 1905; The Mt. Sterling advocate June 16, 1896; St. Johnsbury Caledonian February 21, 1896;",,,,,4.0,
83,83,83,UR_326,"From a 'Dead Beat', or Part of a Dude's Outfit",,"East Oregonian March 10, 1905; Corvallis Gazette March 09, 1906;",,,,,3.0,
84,84,84,UR_327,Light Yellow,,"East Oregonian March 10, 1905",,,,,1.0,
85,85,85,UR_328,The Milk of Human Kindness,,"East Oregonian March 10, 1905",,,,,1.0,
86,86,86,UR_329,A Dry Pair,,"East Oregonian March 10, 1905",,,,,1.0,
87,87,87,UR_330,A Little Kid / A Little Pickaninny TK,,"East Oregonian March 10, 1905; The Holbrook news August 06, 1920;",,,,,3.0,
88,88,88,UR_331,Used in Digging: A Letter of the Alphabet,,"East Oregonian March 10, 1905; The Newtown bee August 31, 1894;",,,,,3.0,UR_210
89,89,89,UR_332,Encompassed by the 'Rhine',,"East Oregonian March 10, 1905",,,,,1.0,
90,90,90,UR_333,The Square Thing,,"East Oregonian March 10, 1905",,,,,1.0,
91,91,91,UR_334,Here's a Fowl Without a Feather,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
92,92,92,UR_335,"Tell Me, Where is Fancy Bred",,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
93,93,93,UR_336,He Must Have a Long Spoon,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
94,94,94,UR_337,Trifles Light as Air,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
95,95,95,UR_338,Can you Eat Roots?,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
96,96,96,UR_339,Tis Time I were Choked on a Piece of Roasted Cheese,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
97,97,97,UR_340,I Was Brutal to Kill? Capital a Calf,Caesar Sauce/Salad? (Shakespeare Pun),"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
98,98,98,UR_341,A Groundling,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
99,99,99,UR_342,"Good Words, Good Cabbage",,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
100,100,100,UR_343,In Pure Kindness to his Horse he Buttered his Hay,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
101,101,101,UR_344,Easy it is to Eat a Loaf,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
102,102,102,UR_345,Sweetest Meat Hath Sourest Rind,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
103,103,103,UR_346,We Have Some of the Salt of Youth in Us,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
104,104,104,UR_347,There's Pippins and Cheese to Come,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
105,105,105,UR_348,Boar's Head,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
106,106,106,UR_349,"The Earth Hath Bubbles as the Water Has, and These are of them",,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
107,107,107,UR_350,A Pair of Very Strange ?,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
108,108,108,UR_351,As Cold as if I had Swallowed Snowballs,,"The Goodland republic March 04, 1898",,,These are all playing on Shakespeare Quotes,,1.0,
