,level_0,Unnamed: 0,index,Unnamed: 0.1,Newspaper,Newspaper_Date,Event_Date,Country,State/Province,City,Organization_Hosting,Event_Location,Persons,Price_Event,Revenue,Attendance,Contains_BOF,Aditional_Comments,Coordinates
15,15,15,15,15,Sherbrooke Daily Record,1914-05-08,1914-05-12,Canada,Quebec,Mansonville,The Guiding Star Lodge No. 83,Methodist Church Vestry,,,,,n,,"(45.0497367, -72.3919878)"
16,16,16,16,16,Sherbrooke Daily Record,1914-05-12,1914-05-12,Canada,Quebec,Mansonville,I.O.G.T.,Methodist Church Vestry,,,,,n,This newspaper references the same event as R_16,"(45.0497367, -72.3919878)"
17,17,17,17,17,Sherbrooke Daily Record,1911-05-15,1911-05-23,Canada,Quebec,Waterville,Willing Workers,"Congregational Church, basement",,,,,n,,"(45.277061, -71.890755)"
18,18,18,18,18,Sherbrooke Daily Record,1911-05-18,1911-05-16,Canada,Quebec,Waterville,Willing Workers,"Congregational Church, lecture room",,,,,n,,"(45.277061, -71.890755)"
19,19,19,19,19,Sherbrooke Daily Record,1914-05-19,1914-05-12,Canada,Quebec,Mansonville,I.O.G.T.,Methodist Church Vestry,Miss Agnes Crowell; F. Kel-Sisco; Dr. E. H. Henderson; Rev. G. W. Runnells; E. Davis; Mr. S. A. Mason,,,"""well attended""",n,,"(45.0497367, -72.3919878)"
20,20,20,20,20,Sherbrooke Daily Record,1936-05-21,,Canada,Quebec,Dixville,Woman's Institue Members,,Mrs. Gordon Bellows,,,,n,"The newspaper mentions that at a certain event ""Plans were then made for a conundrum supper""","(45.067701, -71.770935)"
21,21,21,21,21,Sherbrooke Daily Record,1936-05-23,,Canada,Quebec,Dixville,Woman's Institue Members,Hall,,,7$ CAD,,n,Apparently is the event they planned in the newspaper reference R_21,"(45.067701, -71.770935)"
22,22,22,22,22,Sherbrooke Daily Record,1913-11-10,1913-10-31,Canada,Quebec,Hatley,"Amateur Dramatic and Literary Society, in connection with St. James Church",Foresters' Hall,,,,"""very well attended""",n,,"(45.185909, -71.93676)"
23,23,23,23,23,Sherbrooke Daily Record,,1914-12-08,Canada,Quebec,Martinville,The Ladies' Aid; Willing Workers,Residence of Mr. and Mrs. J. J. Parsons,Mrs. J. J. Parsons; Mr. J. J. Parsons,,,,n,,"(45.278269, -71.714287)"
24,24,24,24,24,Sherbrooke Daily Record,1916-10-30,1916-10-31,Canada,Quebec,Farnham,Ladies of St. James Church,St. James Hall,,,,,n,,"(45.2831, -72.974968)"
25,25,25,25,25,Sherbrooke Daily Record,1911-05-18,1911-05-16,Canada,Quebec,Waterville,Willing Workers,"Congregational Church, lecture room",,,,"""not well attended"" but ""was quite a success""",n,References same event as R_19,"(45.277061, -71.890755)"
26,26,26,26,26,The Sherbrooke Examiner,1902-06-25,1902-07-02,Canada,Quebec,Erle,Ladies' Aid Society,Mr. Dawson's Hall,Mr. Lee Gorham,,,,n,,"(45.6995815, -71.6015947)"
27,27,27,27,27,The Abbotsford Post,1914-10-23,1914-10-12,Canada,British Columbia,Abbotsford,Ladies' Aid Society,Orange Hall,Mr. Reld,,,"""large audience""",n,,"(49.0521162, -122.3294792)"
28,28,28,28,28,The British Columbia Federationist,1919-11-07,1919-11-01,Canada,British Columbia,Vancouver,Junior Labor League (the younger folks of the Federated Labor Party),Old Country Tea Rooms,Miss Gilpha Simons; Mr. Langlois; Miss Annies Cran; Miss V. Wells; E. Pierrot;,One book or the price of one book,,,n,,"(49.2608724, -123.1139529)"
29,29,29,29,29,The Cranbrook Herald,1916-06-22,1916-06-20,Canada,British Columbia,Cranbrook,Methodist Church,Methodist Church,Mr. Nidd; Mrs. Manning; Mrs. Burton; Mr. John Love,,,"""large crowd""",n,,"(49.5107477, -115.7672772)"
30,30,30,30,30,The Cumberland Islander,1919-12-06,1919-12-11,Canada,British Columbia,Cumberland,The Ladies' Aid of Grace Methodist Church,Grace Methodist Church schoolroom,,25 cents,,,n,Event is a Conundrum tea,"(49.6184754, -125.0319702)"
31,31,31,31,31,The Daily Colonist,1895-03-07,1895-03-08,Canada,British Columbia,Victoria,the Ladies' Aid of St. Andrew's church,"Cedar Hill, in the schoolhouse",,,,,n,aware to the novelty of the event,"(48.4283182, -123.3649533)"
32,32,32,32,32,The Daily News New Westminster,1907-02-28,1907-03-05,Canada,British Columbia,New Westminster,St. Andrew's Young People's bible class,Church hall,,,,,n,,"(49.205728, -122.9108651)"
33,33,33,33,33,The Daily News New Westminster,1907-03-04,1907-03-05,Canada,British Columbia,New Westminster,St. Andrew's Young People's bible class,Church hall,,,,,n,"References the same event as R_33; ""The Conundrum Supper is quite a novelty in this city""","(49.205728, -122.9108651)"
34,34,34,34,34,The Daily News New Westminster,1907-03-05,1907-03-05,Canada,British Columbia,New Westminster,St. Andrew's Young People's bible class,Church hall,,,,,n,References the same event as R_33 and R_34,"(49.205728, -122.9108651)"
35,35,35,35,35,The Daily News New Westminster,1907-03-08,1907-03-05,Canada,British Columbia,New Westminster,St. Andrew's Young People's bible class,Church hall,Miss Muirhead; Miss Henderson; Miss McMillan; Ben Robb; Messrs. Hederson and Laidlaw; Mrs Corbett,"""nominal""","""most satisfactory""",Over 200,N,"References the same event as R_33, R_34, and R_35","(49.205728, -122.9108651)"
36,36,36,36,36,"The Daily Telegram, Nanaimo",1893-12-09,1893-12-11,Canada,British Columbia,Nanaimo,,Wallace Street Methodist Church,,,,,n,"""Something new and novel in the way of social entertainment""","(49.1637594, -123.9379719)"
37,37,37,37,37,"The Daily Telegram, Nanaimo",1893-12-12,1893-12-11,Canada,British Columbia,Nanaimo,,Wallace Street Methodist Church,Messrs. Mailtand and Powers; Miss Doberson; Miss Mebius,,,"""small attendance""",y,References same event as R_37,"(49.1637594, -123.9379719)"
38,38,38,38,38,The Equity,1901-12-26,1901-12-31,Canada,Quebec,Shawville,"Willing Workers of the Presbyterian Chiurch, Portage du Fort",,,,,,n,,"(45.605872, -76.494713)"
39,39,39,39,39,The Equity,1924-03-27,1924-04-01,Canada,Quebec,Shawville,Eleanor Parker; Myra Spencer,"Residence of Hosts, Eleanor Parker, Myra Spencer",Eleanor Parker; Myra Spencer,,,,n,"Interesting rendition of a Conundrum Supper, not the same as usual - April Fools CS","(45.605872, -76.494713)"
40,40,40,40,40,The Equity,1907-11-14,1919-11-20,Canada,Quebec,Shawville,The Ladies' Aid of the Presbyterian Church,Orange Hall,,,,,n,,"(45.605872, -76.494713)"
41,41,41,41,41,The Evening Sun,1904-04-15,1904-04-19,Canada,British Columbia,Grand Forks,The Ladies' Aid of the Presbyterian Church,Brick block next to Donaldson's fruit store,,,,,n,A Conundrum tea,"(49.0271754, -118.4568507)"
42,42,42,42,42,The Nicola Herald,1907-01-10,1907-01-11,Canada,British Columbia,Nicola,Miss Bertha Woodward,Residence of Miss Bertha Woodward,,,,,n,In honor of hostess' birthday,"(50.1616711, -120.6741487)"
43,43,43,43,43,The Phoenix Pioneer,1903-03-07,1903-03-12,Canada,British Columbia,Phoenix,The Ladies' Aid of the Presbyterian Church,Church,,5 cents,,,y,,"(49.2827136, -123.1097142)"
44,44,44,44,44,The Prince Rupert Optimist,1910-06-07,,Canada,British Columbia,Prince Rupert,Mary Dawson,,Mary Dawson,"Each dish comes with a price: 5 cents, 5 cents, 1 cent, 15 cents, 2 cents, 5 cents, 3 cents, 2 cents, 5 cents, 3 cents, 2 cents, 1 cent, 2 cents",,,y,,"(54.3126572, -130.32549)"
45,45,45,45,45,The Quebec Chronicle,1899-02-08,,Canada,Quebec,Quebec City,,,Mrs. Snaggs; Mr. Snaggs,,,,n,"""A recent society fad is called the conundrum supper""","(46.8259601, -71.2352226)"
46,46,46,46,46,The Revelstoke Herald,1902-08-28,,Canada,British Columbia,Revelstoke,,Clinton Ave,,,,,n,Contains a joke-riddle connected to slavery,"(50.998045, -118.1956709)"
47,47,47,47,47,The Sherbrooke Examiner,1894-05-18,1894-05-17,Canada,Quebec,Sherbrooke,,,,,,,n,,"(45.403271, -71.889038)"
48,48,48,48,48,The Sherbrooke Examiner,1899-12-15,1899-12-08,Canada,Quebec,Farnham,Methodist Church choir,Church basement,Mr. McFarlane; Mrs. Jamieson; Mrs. Wm. Nixon; Miss Mitchell; Miss Nixon; Mr. Fraser; Mrs. Fraser; Miss Fraser; Mr. McKay; Miss Eager; Rev. Mr. Henderson; Mr. Pike,,,,n,"Newspaper date is inconsitent, one page writes December 15, the other pages December 11","(45.2831, -72.974968)"
49,49,49,49,49,The Sherbrooke Examiner,1903-09-23,1903-09-19,Canada,Quebec,South Dudswell,Miss Pearl Orr,Hall,Miss Pearl Orr,,,,n,,"(45.583817, -71.5754826)"
50,50,50,50,50,The Sherbrooke Record,1972-05-30,1972-05-17,Canada,Quebec,Maricourt,,Melbourne Ridge,Mrs. Anette Malboeuf; Mrs. Lucille Taylor; Mrs. Paul Papineau; Mrs. Real Larochelle; Mrs. Raymond Gifford,,,,n,Conundrum tea,"(45.5636228, -72.2637526)"
51,51,51,51,51,"The Tribune, Nelson",1900-09-11,1900-09-11,Canada,British Columbia,Nelson,Epworth League of the Methodist Church,,,,,,n,,"(49.494891, -117.290039)"
52,52,52,52,52,Walker's Weekly,1908-04-23,1908-05-01,Canada,British Columbia,Enderby,,"Presbyterian church, basement",,5 cents,,,n,,"(50.5504793, -119.1397789)"
53,53,53,53,53,Buffalo Evening News,1892-09-20,,U.S.,NY,Buffalo,,,,,,,y,"References a text called ""Mary Fairfax in Housekeeper's Weekly"" - which has instructions on how to have a CS","(42.9383918, -78.6847515)"
54,54,54,54,54,Cleaveland Gazette,1891-03-07,,U.S.,OH,Cleveland,The Ladies' Helping Hand society,Residence of Mr. and Mrs. George Thompson,Mr. George Thompson; Mrs. George Thompson;,,10.14$ USD,30,y,,"(41.4192323, -81.7044341)"
55,55,55,55,55,Elmira Morning Telegram,,1906-02-08,U.S.,NY,Elmira,Mr. Courtland F. Carrier and Mrs. Courtland F. Carrier,Residence of Mr. Courtland F. Carrier and Mrs. Courtland F. Carrier,Mrs. Carrier's bible class at the First Presbyterian church; Rev. Arthur Dougall; Mrs. Arthur Dougall; Harrison S. Chapman; Mrs. Chapman,,,~31,n,,"(42.0897965, -76.8077338)"
56,56,56,56,56,The Farmer's Review,1898-10-05,,U.S.,IL,Chicago,,,,,,,y,Quotes the Chicago Times Herald,"(41.9619554, -87.903843)"
57,57,57,57,57,Gulfport Daily Herald,1923-02-10,1923-02-03,U.S.,MS,Gulfport,Presbyterian Choir,Woman's club rooms,George C. Poole; Mr. Jeffery; Mr. Devore; Mr. Scull; Mr. McCaskey; Mr. Estopinal; Mr. Frances; Vincent Tedford; Ross Thompson; W. R. Barber; Mrs. Archie Thompson; Mr. Martin; Mr. Bugna; Mr. Bugna; Mr. Anderson; Mr. Miller; Mrs. Ary W. Jones; Dr. H. A. Jones,,80$ USD,,n,"Claims the menu came from Miss Margaret Climie of Bowmanville, Canada","(30.3674198, -89.0928155)"
58,58,58,58,58,Lewiston Evening Journal,1893-01-21,1893-01-19,U.S.,ME,Lewiston,King's Daughters,Presbyterian vestry,,,,,y,,"(44.100351, -70.2147764)"
59,59,59,59,59,Lowell Daily Courier,1893-03-30,1893-03-29,U.S.,MA,Lowell,Young People's Missionary society,Pawtucketville church vestry,Miss Lilian Morrison; Miss Alice Colton; Miss Margaret MacKenzie; Miss Laura Connell; Miss Victorial Connell; Miss Victoria Cuthbertson;Mrs. C. A. Richardsonl Mr. Arthur Stocks; Miss Vera Johnson; Miss Kneeland,,,,n,,
60,60,60,60,60,Sea Cliff News,1933-08-05,1933-08-08,U.S.,NY,Sea Cliff,Ladies' Aid Society,Wesley Hall,,5 cents,,,n,,"(40.8524203, -73.6254099)"
61,61,61,61,61,The St. Paul Daily Globe,1890-05-25,1890-05-30,U.S.,MN,St. Paul,Ladoes of the Presbyterian Church,Residence of Mrs. A. B. Robbins,Mrs. A. B. Robbins,,,,n,,"(44.9504037, -93.1015026)"
62,62,62,62,62,The Syracuse Daily Journal,1897-08-31,,U.S.,NY,Syracuse,,,,Under 10 or 15 cents per ticket,,,n,"Contains a detailed explanation of how the CS is hosted and conducted, and quotes the Chicago Record for information","(43.0481221, -76.1474244)"
63,63,63,63,63,The Daily News New Westminster,1900-12-14,,U.S.,NY,East Elma(?),,Church,Mrs. Florence Kelsey; Mr. Frank Qickly; Mrs. Frank Qickly; Miss Carrie Dewey;,,,,n,,
64,64,64,64,64,The Equity,1957-11-28,,Canada,Quebec,Sawville,The Ladies' Aid of the Presbyterian Congregation,Orange Hall,,,~90$ CAD,,n,"""50 years ago"" section",
65,65,65,65,65,The Telegram,1910-02-27,1910-02-24,U.S.,NY,Elmira,Epworth League of Centenary Methodist Episcopal Church,Church Parlors,,,,,n,,"(42.0897965, -76.8077338)"
66,66,66,66,66,The Yonker's Statesman,1902-02-21,1902-02-20,U.S.,NY,Yonkers,Doreas Society of Westminster Church,Church Lecture Room,,,,,n,"Says that the ""ladies who conducted the affair"" were dressed in costume, ""such as Martha Washington might have worn""","(40.9312099, -73.8987469)"
67,67,67,67,67,Vermont Phoenix,1883-01-05,1883-01-08,U.S.,VT,Brattleboro,Ladies' Aid Society,,,,,,n,"""In place of an annual Christmas festival""","(42.8509152, -72.5578678)"
68,68,68,68,68,Watkins Express,1922-03-08,1922-03-11,U.S.,NY,Watkins,,Kayutah Lake Grange Hall,,,,,n,,
69,69,69,69,69,Montreal Gazette,1894-11-03,,Canada,Quebec,Montreal,Ladies' Aid Society,St. James Methodist Church,,,,,,,"(45.4972159, -73.6103642)"
70,70,70,70,70,Montreal Gazette,1903-11-14,1903-11-14,Canada,Quebec,Montreal,Boys' Sunshine Club of Westmount,Victoria Hall,,,,,,,"(45.4972159, -73.6103642)"
71,71,71,71,71,Montreal Gazette,1903-11-16,1903-11-14,Canada,Quebec,Montreal,Boys' Sunshine Club of Westmount,Victoria Hall,,,,,y,References the same event as R_71,"(45.4972159, -73.6103642)"
72,72,72,72,72,Montreal Gazette,,1893-02-02,Canada,Quebec,Longueil,Ladies' Aid Society of St. Marks,St. Mark's Schoolhouse,,,,,,,"(45.442381, -72.7119792)"
73,73,73,73,73,Wyoming County Times Warsaw,1896-09-17,1896-09-09,U.S.,NY,Pike,The Young People's Aid Society connected with the Baptist church,Residence of A. Lathrop,A. Lathrop; Mattie Scott; Fred Shay,10 cents,,,n,Also has a conundrum question competition with prizes ,"(59.7166855, 12.4704265)"
74,74,74,74,74,Montreal Gazette,1925-11-02,1925-10-31,Canada,Quebec,Montreal,Boys Home of Montreal on Mountain,Boys Home of Montreal on Mountain,,,,,,,"(45.4972159, -73.6103642)"
75,75,75,75,75,Allegany County News,1915-02-25,1915-02-24,U.S.,NY,West Bingham,,,Mr. Arlie Holbert; Mrs. Arlie Holbert; Mr. George Lewis; Mrs. George Lewis; Mr. Alva Horning; Mrs. Alva Horning; Mr. Selden Lewi; Mrs. Selden Lewi; Miss Cassie Chaffee; Miss Dorothy Grover; Dewert Grover; Clifford Lewis; Lee Barnes,,,,n,,
76,76,76,76,76,Allegany County News,1914-11-19,1914-11-13,U.S.,NY,Bingham,W.C.T.U.,Church basement,Edna Wemple,,,,n,,"(42.8815226, -78.8807256)"
77,77,77,77,77,Altamont Enterprise,1893-12-22,1894-01-01,U.S.,NY,Altamont,Y.P.S.C.E. of the New Scotland Presbyterian Church,Church basement,,,,,n,,"(42.7006324, -74.0337382)"
78,78,78,78,78,Altamont Enterprise,1895-02-01,1895-02-14,U.S.,NY,Delanson,Epworth League of Delanson,M.E. church,,25 cents,,,n,,"(42.7453532, -74.1881834)"
79,79,79,79,79,Altamont Enterprise,1894-01-05,1894-01-01,U.S.,NY,Altamont,Y.P.S.C.E. of the New Scotland Presbyterian Church,Church basement,,,,,n,Probably references the same event as R_78,"(42.7006324, -74.0337382)"
80,80,80,80,80,Altamont Enterprise,1925-01-09,1925-01-16,U.S.,NY,Delanson,The Ladies' Aid,M.E. church hall,,,,,n,,"(42.7453532, -74.1881834)"
81,81,81,81,81,Altamont Enterprise,1900-06-08,1900-06-16,U.S.,NY,Berue,,Hallenbeck's hall,,,,,n,,
82,82,82,82,82,Altamont Enterprise,1902-03-21,1902-03-28,U.S.,NY,Boox,The Ladies of the Reformed Church,Hall,,,,,n,,
83,83,83,83,83,Altamont Enterprise,1896-03-27,1896-03-23,U.S.,NY,Feurabush,Mr. Peter VanNatten and Mrs. Peter VanNatten,Residence of Mr. Peter VanNatten and Mrs. Peter VanNatten,Mr. Peter VanNatten; Mrs. Peter VanNatten; Mr. Charles Becker; Mrs. Charles Becker; Mr. George Mead; Mrs. George Mead; Mr. Clark Coughtry; Mrs. Clark Coughtry; Mr. Albert Van-Derzee; Mrs. Albert Van-Derzee;,,,,n,,
84,84,84,84,84,Altamont Enterprise,1902-03-28,1902-03-28,U.S.,NY,Boox,,,,,,,n,,
85,85,85,85,85,Altamont Enterprise,1895-05-03,1895-05-08,U.S.,NY,Wemple,,First Reformed Church,,,,,n,,"(42.5742468, -73.7756773)"
86,86,86,86,86,Altamont Enterprise,1901-05-03,1901-05-14,U.S.,NY,Thompson's Lake,,,,,,,n,,"(42.6428551, -74.0440176)"
87,87,87,87,87,Altamont Enterprise,1894-11-16,1894-11-16,U.S.,NY,Dormansville,The young ladies of this place,Gibbon's hall,,,,,n,,"(42.4995235, -73.9945751)"
88,88,88,88,88,Altamont Enterprise,1897-10-01,1897-10-08,U.S.,NY,Gilford's(?),The Gleaner Society,Hall,Mrs. Stephen Ostrander,,,,n,,
89,89,89,89,89,Altamont Enterprise,1910-10-07,,U.S.,NY,Knox,,,,,21.45$ USD,,n,,"(42.6711876, -74.115685)"
90,90,90,90,90,Altamont Enterprise,1910-09-23,1910-10-01,U.S.,NY,Knox,The ladies of the church,M.E. church hall,,,,,n,,"(42.6711876, -74.115685)"
91,91,91,91,91,Cape Vincent Eagle,1924-02-28,,U.S.,NY,,,,,,,,n,General reference to the CSs popularity 'latest fad',"(50.2721249, 19.0252592)"
92,92,92,92,92,Cape Vincent Eagle,1906-07-05,,U.S.,NY,,,,,,,,n,Exactly the same quote as R_92 with an 18 year difference,"(50.2721249, 19.0252592)"
93,93,93,93,93,Catskill Mountain News,1914-02-27,1914-03-04,U.S.,NY,Margaretteville,The Ladies' Aid Society of the M.E. church,E.H. Dickenson's Hall,,,,,n,,
94,94,94,94,94,Cattaraugus Republican,1916-11-02,1916-11-01,U.S.,NY,Cattaraugus (Little Valley),The Ladies of the H.S.C.,G.A.P. Hall,,,17$ USD,,n,,
95,95,95,95,95,Cattaraugus Times,1908-09-18,1908-09-12,U.S.,NY,Cattaraugus,Cattaraugus Grange,Grange Hall,E.C. Richard; Mrs. M.N. Pepperdine; Mr. E.L. Waite; Mrs. E.L. Waite;,,,,n,Also mentions a 'bean contest' that takes place at the same event - Twelth Night,"(42.2234823, -78.6477096)"
96,96,96,96,96,Cazenovia Republican,1896-02-20,,U.S.,NY,Stockbridge,The Aid Society,,,,,,n,,"(42.9911796, -75.5993463)"
97,97,97,97,97,Cazenovia Republican,1896-07-16,1896-07-16,U.S.,NY,Cazenovia,The Ladies' Aid Society of the Baptist Church,"Residence of W.H. Cruttenden, Seminary Street ",W.H. Cruttenden,,,,n,,"(42.9300668, -75.8526915)"
98,98,98,98,98,Cazenovia Republican,1910-10-06,1910-09-29,U.S.,NY,Erieville,The Baptist Society,,,,11$ USD,,n,,"(42.8517337, -75.7554654)"
99,99,99,99,99,Cazenovia Republican,1892-10-27,1892-10-22,U.S.,NY,De Ruyter,The Ladies U A.S. of the Baptist Church,Union Hall,,,,,n,,
100,100,100,100,100,Chatham Courier,1913-02-12,1913-02-19,U.S.,NY,Red Rock,M.E. Church,Residence of Joseph Jenkins ,,,,,n,,"(50.41536625, 18.8550651146495)"
101,101,101,101,101,Chatham Courier,1899-02-22,1899-02-24,U.S.,NY,Claverack ,,"Ingleside, Residence of Mr. and Mrs. Peter Cole",Mr. Peter Cole; Mrs. Peter Cole,,,,n,,"(42.2250876, -73.7345686)"
102,102,102,102,102,Chatham Courier,1913-02-26,1913-02-19,U.S.,NY,Red Rock,M.E. Church,Residence of Joseph Jenkins ,Mr. Joseph Jenkins; Mrs. Joseph Jenkins; Mrs. Chester Ford; Miss Ruth Gibbins; Miss Sadie Goodrich; William D. Campbell,,,100,y,References same event as R_101,"(50.41536625, 18.8550651146495)"
103,103,103,103,103,Chatham Courier,1901-02-27,1901-03-01,U.S.,NY,Old Chatham,M.E. Church,,,,,,n,,"(42.4406387, -73.5617812)"
104,104,104,104,104,Chatham Courier,1914-05-06,1914-05-13,U.S.,NY,New Britain,Church,Residence of Mrs. Determann,Mrs. Determann,25 cents,,,n,,"(42.454805, -73.4898339)"
105,105,105,105,105,Chatham Courier,1892-11-30,1892-12-01,U.S.,NY,New Lebanon,The Baptist Society,Residence of J.B. Shumway,J.B. Shumway,,,,n,,"(42.4639722, -73.3964977)"
106,106,106,106,106,Chatham Courier,1893-10-18,1893-10-25,U.S.,NY,Nassau,The C.E. Society of the Reformed Church,Chapel,,,,,n,,"(40.7412643, -73.5877699)"
107,107,107,107,107,Commercial Advertiser,1892-03-02,,U.S.,NY,Potsdam Junction,,,,,,,n,"Does not reference an actual event but it's an early indication of the trend: ""A conundrum supper is the the latest fad in church entertainments. You guess what you are going to have for supper, and then guess how much change you are going to get out of a five-dollar bill""",
108,108,108,108,108,Commercial Advertiser,1909-03-23,1909-03-30,U.S.,NY,North Stockholm,L.A.S. (Ladies Aid Society),Residence of Hermon Lewis,Hermon Lewis,,,,n,,
109,109,109,109,109,The Whitesville News,1904-12-22,1904-12-20,U.S.,NY,Whitesville,Social Purity Band and Literary Club,Open house,,,,,y,,"(42.0378463, -77.7624938)"
110,110,110,110,110,Commercial Advertiser,1894-10-03,1894-09-29,U.S.,NY,Potsdam Junction,I.O.G.T.,Hall of Hope Lodge,,,10$ USD,,n,,
111,111,111,111,111,Cortland Standard,1892-12-23,1892-12-30,U.S.,NY,Virgil,,,Mr. Shaw; Mrs. Gertie Elster; Miss Lillie Lang; Mrs. Kate McKinney; |Mrs. Eva Muncey; Mrs. Eva Gee; Mr. Frankchristman; Mr. Lou Christman; Merton; Mr. A.V. Rounds; Aldine Watros; Nora Bell; May Reese; Ina Stillman; Iva Berlou; Etta Oaks; Lelia Curtis; John Warwick; MRs. Clinton Sager; Mrs. E.A. Craine; A. II Bruce; Mrs. Rodolph Trice,,,,n,,"(42.5106272, -76.1943742)"
112,112,112,112,112,Cortland Standard,1893-01-06,1892-12-30,U.S.,NY,Virgil,,M.E. Church,Mr. Shaw; Mrs. Gertie Elster; Miss Lillie Lang; Mrs. Kate McKinney; |Mrs. Eva Muncey; Mrs. Eva Gee; Mr. Frankchristman; Mr. Lou Christman; Merton; Mr. A.V. Rounds; Aldine Watros; Nora Bell; May Reese; Ina Stillman; Iva Berlou; Etta Oaks; Lelia Curtis; John Warwick; MRs. Clinton Sager; Mrs. E.A. Craine; A. II Bruce; Mrs. Rodolph Trice,,,300,n,"References the same event as R_112; interestingly has a ""conundrum song"" by Katie McKinney as part of the program.","(42.5106272, -76.1943742)"
113,113,113,113,113,Cortland Standard,1898-04-05,1898-04-06,U.S.,NY,Cortland(?),Young men of Rev. J.C.B. Moyer's class and Prof. L.J. Higgin's class of young ladies ,Homer-ave M.E. Church,Rev. J.C.B. Moyer; Prof. K.J. Higgin,,,,n,,"(50.0956766, 19.0098815)"
114,114,114,114,114,Cortland Standard,1900-12-11,1900-12-14,U.S.,NY,Cortland(?),Young ladies of the Hough class,Memorial Baptist Church,,10 cents,,,n,,"(50.0956766, 19.0098815)"
