docId,document title,publication year,sentiment score,relative mean score
DX1901056016,RIDDLE TOURNAMENT,"1881",1.3466,1.7033
XEBAQM475503831,"The ""Puzzledom"" Watch, &c., Competition","1888",1.3448,1.7
DX1901052982,PUZZLEDOM.,"1875",1.339,1.6888
DX1901906564,"ENIGMAS, CHARADES. ETC.","1867",1.3333,1.678
DX1901126321,Crackers for the Ingenious,"1874",1.3333,1.678
DX1901146362,OUR PRIZE TOURNAMENT,"1883",1.3333,1.678
DX1901678079,SCRIPTURE PUZZLES,"1868",1.3333,1.678
CC1903079739,Our Puzzle Box,"1896",1.3333,1.678
DX1901683957,CHARADE,"1842",1.3333,1.678
RMJRDB636875718,Puzzles Riddles,"1877",1.3333,1.678
CC1904016772,PUZZLES,"1878",1.3333,1.678
DX1901523485,"Answers to Riddles, &c.,","1864",1.3333,1.678
CC1903254021,OUR PUZZLES,"1899",1.325,1.6622
HWHPLE075072032,The Puzzler,"1870",1.3243,1.6609
CC1903079593,Our Puzzle Box,"1895",1.32,1.6526
DX1901724863,HIDDEN TEXT AND CHARADE,"1899",1.3158,1.6446
JFGDEF799382613,Puzzles Riddles,"1878",1.3158,1.6446
RISIGI918507437,Award of Prizes,"1885",1.3125,1.6383
DX1901677659,CHARADE,"1845",1.3125,1.6383
DX1901530223,PUZZLEDOM,"1881",1.3125,1.6383
DX1901104614,Crackers for the Ingenious,"1876",1.3077,1.6292
DX1901062808,THE RIDDLE TOURNAMENT,"1889",1.3033,1.6207
DX1901869365,"ENIGMAS, CHARADES, ETC.","1867",1.3,1.6145
CC1903240336,OUR PUZZLES,"1899",1.3,1.6145
DBBEXX412787124,Award of Prizes,"1885",1.2963,1.6074
DX1901124029,Crackers for the Ingenious,"1873",1.2917,1.5986
DX1901053014,PUZZLEDOM. BY MRS. BRODERIP,"1875",1.2917,1.5986
NDOSPC609563995,Puzzles Riddles &c,"1877",1.2857,1.5873
DX1901677528,CHARADE,"1845",1.2857,1.5873
AOSLJC753097891,The Riddler,"1886",1.2857,1.5873
CC1903069180,Missionary Enigma,"1870",1.2857,1.5873
DX1901677325,CHARADE,"1843",1.2857,1.5873
CC1903255779,OUR RECREATION CORNER,"1869",1.2857,1.5873
NKWSJS538600106,Puzzles Riddles &c.,"1878",1.2759,1.5685
CC1903240542,OUR PUZZLES,"1900",1.275,1.5668
DX1901793616,"ENIGMAS, CHARADES, &c.","1866",1.2727,1.5625
DX1901053118,PUZZLEDOM. BY MRS. BRODERIP,"1875",1.2679,1.5532
DX1901052992,PUZZLEDOM. BY MRS. BRODERIP,"1875",1.2619,1.5419
DX1901508702,"The ""Little Folks' Annual"" Special Prize Puzzle Competition","1887",1.2558,1.5302
DX1901245378,INTELLECTUAL ENTERTAINMENT,"1812",1.25,1.5192
DX1901656320,SCRIPTURE ENIGMA.-DOUBLE ACROSTIC,"1865",1.25,1.5192
DX1901241195,CHARADE,"1825",1.25,1.5192
DX1901677716,CHARADE,"1845",1.25,1.5192
DX1901793285,"ENIGMAS, CHARADES, &c.","1866",1.25,1.5192
DX1901733527,RIDDLES,"1863",1.25,1.5192
DX1901526560,"Riddles, Charades, &c.","1867",1.25,1.5192
DX1901677471,CHARADE,"1845",1.25,1.5192
DX1901781892,THE RIDDLE-BOX,"1875",1.2453,1.5102
DX1901053034,PUZZLEDOM. BY MRS. BRODERIP,"1875",1.2422,1.5043
DX1901069298,RIDDLE TOURNAMENT,"1886",1.2397,1.4995
DX1901869416,"ENIGMAS, CHARADES, ETC.","1868",1.2381,1.4965
UPVFKD009145526,"The ""Puzzledom"" Watch, &c., Competition","1888",1.2353,1.4911
DX1901053190,PUZZLEDOM. BY MRS. BRODERIP,"1875",1.234,1.4887
AIXXMR733186174,Puzzles Riddles &c.,"1878",1.2308,1.4825
QIBBXA642880554,Puzzles Riddles,"1877",1.2273,1.4758
DX1901525908,"Answers to Riddles, Charades, &c., In May Number","1866",1.2222,1.4662
DX1901723593,BIBLE ENIGMAS AND ACROSTICS,"1895",1.2222,1.4662
DX1901519127,PUZZLES,"1879",1.2222,1.4662
CC1903240355,OUR PUZZLES,"1899",1.2167,1.4556
DX1901678262,Our Puzzle Department,"1869",1.2143,1.4511
CC1903256390,RECREATION COLUMN,"1871",1.2115,1.4458
DX1901122488,ANSWERS TO CRACKERS No. 32,"1867",1.2083,1.4397
DX1901106862,RIDDLES,"1883",1.208,1.4391
DX1901064445,RIDDLE TOURNAMENT,"1885",1.2038,1.4311
DX1902049097,OUR PRIZE TOURNAMENT,"1881",1.2,1.4238
CC1903254380,ENIGMA,"1866",1.2,1.4238
DX1901526408,AMUSING,"1869",1.2,1.4238
DX1901723694,BIBLE ENIGMA AND CHARADE,"1895",1.2,1.4238
DX1901526164,"Answers to Riddles, Charades, &c., In November Number","1866",1.2,1.4238
DX1901053130,PUZZLEDOM,"1875",1.1931,1.4107
CC1903240447,OUR PUZZLES,"1899",1.1875,1.4
DX1901531574,NUTS TO CRACK,"1887",1.1875,1.4
DX1901526012,"Answers to Riddles, Charades, &c., In July Number","1866",1.1818,1.3892
DX1901053280,PUZZLEDOM. BY MRS. BRODERIP,"1875",1.1806,1.3868
DX1901781743,THE RIDDLE BOX,"1874",1.1786,1.383
DX1901723125,BIBLE ENIGMA,"1893",1.1765,1.379
DX1901234653,CHARADE,"1880",1.1735,1.3733
DX1901890938,THE RIDDLE BOX,"1874",1.1714,1.3694
DX1901503832,OUR PUZZLE PAGES,"1877",1.1667,1.3603
DX1901177213,SCRIPTURE ENIGMA,"1872",1.1667,1.3603
DX1901677662,CHARADE,"1845",1.1667,1.3603
DX1902136500,CHARADE,"1846",1.1667,1.3603
XBCWVI025553850,The Riddler,"1887",1.1628,1.3529
JXHXGG439462389,The Riddler,"1887",1.1607,1.3489
DX1901067052,RIDDLE TOURNAMENT,"1888",1.1598,1.3472
AVTQJY928249968,Award of Prizes,"1885",1.1579,1.3436
DX1901122769,Crackers for the Ingenions,"1867",1.1562,1.3404
KHPLPU910986430,The Riddler,"1886",1.1562,1.3404
DX1901517828,OUR LITTLE FOLKS' OWN PUZZLES,"1900",1.1538,1.3358
CC1903079767,Our Puzzle Box,"1896",1.15,1.3285
DX1901518017,OUR LITTLE FOLKS' OWN PUZZLES,"1900",1.1429,1.3149
CC1903068932,Missionary Enigma,"1869",1.1429,1.3149
JLFBVJ527859164,The Riddler,"1887",1.1429,1.3149
BZGBOF656372392,The Puzzler,"1870",1.1429,1.3149
JKTQKW813335098,The Puzzler,"1869",1.1389,1.3073
DX1901677977,Our Puzzle Department,"1868",1.1379,1.3055
CC1903079497,Our Puzzle Box,"1895",1.1379,1.3055
DX1901724930,DOUBLE BIBLE ACROSTIC AND HIDDEN TEXT,"1899",1.1333,1.2967
DX1901793533,"ENIGMAS, CHARADES, &c.","1866",1.1316,1.2934
DX1901064551,RIDDLE TOURNAMENT,"1885",1.1313,1.2928
DX1901072709,RIDDLE TOURNAMENT,"1887",1.1304,1.2912
CC1903254040,OUR PUZZLES,"1900",1.1304,1.2912
DX1901069662,RIDDLE TOURNAMENT,"1886",1.1283,1.2872
DX1901686936,PUZZLE PAGES,"1867",1.1277,1.2859
CC1903267676,RECREATION CORNER,"1868",1.125,1.2808
DX1901683857,CHARADE,"1841",1.125,1.2808
VPCZMT056006981,Our Drawer,"1876",1.125,1.2808
DX1901793186,"ENIGMAS, CHARADES, &c.","1866",1.125,1.2808
UQUHXO814462073,Our Nut-Cracker,"1876",1.125,1.2808
DX1901678754,CHARADE,"1866",1.12,1.2713
DX1901793175,"ENIGMAS, CHARADES, &c.","1866",1.119,1.2695
CPRLPR769668481,Puzzles Riddles &c,"1878",1.1176,1.2668
DX1901590866,RIDDLE TOURNAMENT,"1878",1.1158,1.2633
DX1901122511,Crackers for the Ingenious,"1867",1.1154,1.2625
DX1901053106,PUZZLEDOM.,"1875",1.1138,1.2595
DX1901526052,"Answers to Riddles, Charades, &c., In August Number","1866",1.1111,1.2544
DX1901499340,"ENIGMAS, CHARADES, ETC","1867",1.1111,1.2544
CC1904017645,PUZZLES,"1877",1.1064,1.2453
CC1903255684,RECREATION CORNER,"1869",1.1053,1.2432
DX1901068526,RIDDLE TOURNAMENT,"1888",1.102,1.2371
DX1901499648,"ENIGMAS, CHARADES, ETC.","1868",1.1,1.2332
DX1901503623,MENTAL HISTORICAL SCENES,"1877",1.1,1.2332
CC1903069200,Missionary Enigma,"1870",1.1,1.2332
DX1901057888,RIDDLE TOURNAMENT,"1883",1.0985,1.2303
DX1901731624,PUZZLE PAGES,"1868",1.0968,1.227
KDSKSD005174222,Puzzles &c. Riddles,"1879",1.0909,1.2158
CBZWPS588709445,Enigmatical Pastimes,"1873",1.0909,1.2158
DX1901123022,CHRISTMAS RIDDLES,"1871",1.0909,1.2158
DX1901126447,Crackers for the Ingenious,"1874",1.0909,1.2158
DX1901677443,CHARADE,"1845",1.0909,1.2158
DX1901121660,Christmas Riddles,"1892",1.0889,1.212
DX1901065899,RIDDLE TOURNAMENT,"1885",1.0885,1.2112
DX1901724766,ENIGMA AND HIDDEN TEXTS,"1899",1.0882,1.2107
DX1901053381,PUZZLEDOM. BY MRS. BRODERIP,"1875",1.0876,1.2095
YWLXZM128166999,Enigmatical Pastimes,"1875",1.0833,1.2014
DX1901123193,Crackers for the Ingenious,"1872",1.0833,1.2014
OJJWMJ407130071,The Riddler,"1886",1.0833,1.2014
DX1901060533,RIDDLE TOURNAMENT,"1888",1.0823,1.1994
DX1901730316,PUZZLES,"1867",1.082,1.1988
DX1901060594,RIDDLE TOURNAMENT,"1888",1.0814,1.1977
DX1901119004,Crackers for the Ingenious,"1875",1.0784,1.1921
DX1901793768,"ENIGMAS, CHARADES, &c.","1866",1.0769,1.1892
OEYWGG365987803,Enigmatical Pastimes,"1876",1.0769,1.1892
DX1901500028,PICTORIAL CHARADE,"1869",1.0769,1.1892
DX1901499330,"ENIGMAS, CHARADES, ETC.","1867",1.0769,1.1892
DX1901525871,"Answers to Riddles, Charades, &c., In March Number","1866",1.0741,1.1837
DX1901733428,RIDDLES,"1863",1.0741,1.1837
DX1901523598,"Charades, Riddles, & c.","1864",1.0741,1.1837
DX1901105303,Crackers for the Ingenious,"1876",1.0667,1.1696
DX1901869054,"ENIGMAS, CHARADES, &c.","1867",1.0667,1.1696
LDMJUI496163446,Our Nut-Cracker,"1876",1.0625,1.1617
DX1901105663,Crackers for the Ingenious,"1877",1.0588,1.1547
DX1901052884,PUZZLEDOM,"1875",1.0556,1.1484
QGIGTD730408735,Our Nut-Cracker,"1877",1.0556,1.1484
DX1901793459,"ENIGMAS, CHARADES, &c.","1866",1.05,1.1378
DX1901114601,RIDDLES,"1882",1.0492,1.1363
RTLJAI013532430,Our Sphinx,"1867",1.0455,1.1292
DX1901271168,RIDDLES,"1899",1.0426,1.1236
CC1903255280,OUR HOLIDAY PAGE,"1867",1.0361,1.1114
DX1901068783,RIDDLE TOURNAMENT,"1888",1.0312,1.1021
CC1903080187,Prize Competitions,"1897",1.027,1.094
DX1901071150,RIDDLE TOURNAMENT,"1887",1.0265,1.0931
CC1903260241,RECREATION COLUMN,"1871",1.0263,1.0927
DX1901731753,PUZZLE PAGES,"1869",1.025,1.0902
DX1901072556,RIDDLE TOURNAMENT,"1887",1.0126,1.0665
CC1903257343,THE LADIES' PAGE,"1873",1.0105,1.0626
DX1901069153,RIDDLE TOURNAMENT,"1886",1.0081,1.058
DX1901793373,"ENIGMAS, CHARADES, &c.","1866",1,1.0425
DX1901177107,SCRIPTURE CHARADE,"1871",1,1.0425
DX1901177152,SCRIPTURE ENIGMA,"1872",1,1.0425
DX1901869514,"ENIGMAS, CHARADES, ETC.","1868",1,1.0425
DX1901233773,OUR CHARADES,"1890",1,1.0425
DX1901686806,PUZZLE PAGES,"1867",1,1.0425
DX1901105847,Crackers for the Ingenious,"1877",1,1.0425
CC1903722790,Sunday School Riddle,"1885",1,1.0425
DX1901068340,RIDDLE TOURNAMENT,"1888",1,1.0425
CC1903068950,A DOUBLE Missionary Enigma,"1869",1,1.0425
DX1901677559,CHARADE,"1845",1,1.0425
DX1901176378,SCRIPTURE ENIGMA,"1868",1,1.0425
DX1901677149,CHARADE,"1843",1,1.0425
DX1902136363,CHARADE,"1846",1,1.0425
DX1901146247,OUR PRIZE TOURNAMENT,"1882",1,1.0425
CC1903240597,OUR PUZZLES,"1900",1,1.0425
DX1901677645,CHARADE,"1845",1,1.0425
DX1901123566,Crackers for the Ingenious,"1872",1,1.0425
SBCZIL147723423,Puzzle Department,"1859",1,1.0425
DX1901869043,THE FIRST PRIZE CHARADE,"1867",1,1.0425
DX1901677219,CHARADE,"1843",1,1.0425
VHHVFU305632113,Our Prize Charade,"1888",1,1.0425
DX1901723141,BIBLE ENIGMA,"1893",1,1.0425
DX1901677688,CHARADE,"1845",1,1.0425
DX1902036818,A PUZZLE,"1879",1,1.0425
CTQNFL118283359,Our Puzzle Department,"1874",1,1.0425
OWZUVY183387666,Roman Empire,"1888",1,1.0425
CC1903069151,Missionary Enigma,"1870",1,1.0425
DX1901499447,"ENIGMAS, CHARADES, ETC.","1868",1,1.0425
DX1901498954,NUTS TO CRACK,"1879",1,1.0425
CFECEF971595359,Enigmatical Pastimes,"1876",1,1.0425
DX1901242407,NEW CHARADES,"1801",1,1.0425
DX1901057505,RIDDLE TOURNAMENT,"1883",1,1.0425
DX1901053154,PUZZLEDOM,"1875",1,1.0425
DX1901125222,Crackers for the Ingenious,"1868",1,1.0425
VCMYTK524752354,Our Watch Competition,"1888",1,1.0425
DX1901532064,PUZZLEDOM,"1888",1,1.0425
DX1901525777,The Prize Riddles,"1866",1,1.0425
RGLPZS888152827,Puzzles Riddles,"1878",1,1.0425
DX1901723288,BIBLE TEACHING CLASS,"1894",1,1.0425
DX1901499743,"ENIGMAS, CHARADES, ETC.","1868",1,1.0425
HYLFOM871897365,Puzzle Tournament,"1885",1,1.0425
DX1901177008,CHARADE,"1871",1,1.0425
CC1904016802,PUZZLES,"1878",1,1.0425
DX1901722933,A BIBLE ENIGMA,"1893",1,1.0425
DX1901177055,SCRIPTURE ENIGMA,"1871",1,1.0425
DX1901509228,OUR LITTLE FOLKS' OWN PUZZLES,"1894",1,1.0425
DX1901676911,A RIDDLE,"1844",1,1.0425
DX1901723747,"DOUBLE BIBLE ACROSTIC, AND HIDDEN TEXT","1895",1,1.0425
DX1901109057,Crackers for the Ingenious,"1878",1,1.0425
DX1901678707,DOUBLE ACROSTIC ENIGMAS,"1866",1,1.0425
DX1901527894,PUZZLEDOM,"1880",1,1.0425
DX1901245299,CHARADE,"1811",1,1.0425
NNGKED312505080,Our Drawer,"1877",1,1.0425
QKFGHO044143378,Enigmatical Pastimes,"1875",1,1.0425
DX1901677016,CHARADE,"1844",1,1.0425
CUPHDE051745811,Enigma,"1902",1,1.0425
DX1901677429,CHARADE,"1843",1,1.0425
CC1903255801,OUR RECREATION CORNER,"1869",1,1.0425
DX1901499397,"ENIGMAS, CHARADES, ETC.","1868",1,1.0425
DX1901069916,RIDDLE TOURNAMENT,"1886",0.9955,1.034
DX1901063113,THE RIDDLE TOURNAMENT,"1889",0.9881,1.0198
DX1901060494,RIDDLE TOURNAMENT,"1879",0.9875,1.0187
DX1902048032,OUR PRIZE TOURNAMENT,"1884",0.9821,1.0085
DX1901731976,PUZZLE PAGES,"1869",0.9808,1.0058
DX1901063538,RIDDLE TOURNAMENT,"1886",0.9804,1.0051
DX1901059628,RIDDLE TOURNAMENT,"1884",0.9802,1.0048
DX1901126122,Crackers for the Ingenious,"1874",0.9778,1.0001
DX1901065731,RIDDLE TOURNAMENT,"1885",0.9769,0.9984
DX1901122604,Crackers for the Ingenious,"1867",0.975,0.9948
DX1901053044,PUZZLEDOM,"1875",0.9722,0.9896
DX1902045378,OUR PRIZE TOURNAMENT,"1885",0.9672,0.98
DX1901063870,RIDDLE TOURNAMENT,"1886",0.967,0.9796
CC1903240678,OUR PUZZLES,"1900",0.9667,0.979
DX1901730378,PUZZLES,"1867",0.9661,0.9779
SBRBGI103955362,The Riddler,"1887",0.9655,0.9768
DX1901781983,THE RIDDLE-BOX,"1875",0.9655,0.9768
DX1901057780,RIDDLE TOURNAMENT,"1883",0.9654,0.9766
DX1901723771,BIBLE ENIGMA AND HIDDEN TEXT,"1895",0.9643,0.9744
DX1901058094,RIDDLE TOURNAMENT,"1883",0.9625,0.971
DX1901498925,NUTS TO CRACK,"1878",0.9615,0.9692
VHWWPM203005208,The Riddler,"1887",0.9595,0.9652
DX1901054640,RIDDLE TOURNAMENT,"1881",0.9587,0.9637
DX1901056802,RIDDLE TOURNAMENT,"1882",0.9565,0.9596
ABYJOF563622151,The Riddler,"1887",0.9565,0.9596
MUYQXU774259372,The Riddler,"1886",0.9556,0.9578
DX1901526982,AMUSING,"1868",0.9545,0.9559
DX1901793144,"ENIGMAS, CHARADES, &c.","1866",0.9535,0.9538
DX1901734202,RIDDLES,"1864",0.9524,0.9517
DX1901105941,Crakers for the Ingenious,"1877",0.9524,0.9517
DX1901065695,RIDDLE TOURNAMENT,"1885",0.9511,0.9493
DX1901526356,AMUSING,"1869",0.95,0.9472
YEYBWS275095409,Puzzies Riddles & C,"1879",0.9474,0.9422
DX1901149591,PUZZLES,"1892",0.9444,0.9366
DX1901498877,NUTS TO CRACK,"1878",0.9434,0.9346
DX1901069862,RIDDLE TOURNAMENT,"1886",0.9432,0.9343
DX1901054191,Our friend F. W. BINSTEAD to-day takes the leas in the RIDDLE TOURNAMENT,"1880",0.9423,0.9325
DX1901526787,AMUSING,"1867",0.9412,0.9304
CC1903240410,OUR PUZZLES,"1899",0.94,0.9281
DX1901068296,RIDDLE TOURNAMENT,"1888",0.9397,0.9275
ZSBFFP959715491,Enigmatical Pastimes,"1875",0.9333,0.9154
DX1901067299,RIDDLE TOURNAMENT,"1888",0.9325,0.9139
DX1901068130,RIDDLE TOURNAMENT,"1888",0.9316,0.912
DX1901066022,RIDDLE TOURNAMENT,"1885",0.9303,0.9097
DX1901724437,DOUBLE BIBLE ACROSTIC AND HIDDEN TEXT,"1898",0.9286,0.9063
DX1901148711,PUZZLES*,"1890",0.9286,0.9063
DLTWQQ033499870,The Riddler,"1888",0.925,0.8995
DX1901123390,Crackers for the Ingenious,"1872",0.925,0.8995
DX1901104493,Crackers for the Ingenious,"1876",0.9231,0.8959
DX1901505727,PRIZE PUZZLE COMPETITION,"1882",0.9211,0.892
DX1901731817,PUZZLE PAGES,"1869",0.92,0.89
DDORDM990437870,Puzzles,"1886",0.92,0.89
DX1901118844,Crackers for the Ingenious,"1875",0.92,0.89
DX1901065818,RIDDLE TOURNAMENT,"1885",0.9193,0.8886
SEADGZ478512667,The Puzzler,"1870",0.9189,0.8879
DX1901067152,RIDDLE TOURNAMENT,"1888",0.9181,0.8865
DX1901072817,RIDDLE TOURNAMENT,"1887",0.9176,0.8854
DX1901070219,RIDDLE TOURNAMENT,"1886",0.917,0.8843
DX1901724043,HIDDEN TEXT AND BIBLE ACROSTIC,"1896",0.9167,0.8836
DX1901499437,"ENIGMAS, CHARADES, ETC.","1868",0.9167,0.8836
DX1901677356,CHARADE,"1843",0.9167,0.8836
DX1901060640,RIDDLE TOURNAMENT,"1889",0.9163,0.883
DX1901056721,RIDDLE TOURNAMENT,"1882",0.9161,0.8826
DX1901063998,RIDDLE TOURNAMENT,"1886",0.9124,0.8754
DX1901062209,THE RIDDLE TOURNAMENT,"1889",0.9114,0.8736
DX1901686913,PUZZLE PAGES,"1867",0.9111,0.873
DX1901062262,THE RIDDLE TOURNAMENT,"1889",0.911,0.8729
DX1901063069,THE RIDDLE TOURNAMENT,"1889",0.9091,0.8692
DX1902004024,"CHESS, PASTIMES","1888",0.907,0.8652
DX1901071575,RIDDLE TOURNAMENT,"1887",0.9062,0.8638
WBDBPQ416082425,The Riddler,"1886",0.9062,0.8638
DX1901067204,RIDDLE TOURNAMENT,"1888",0.9057,0.8628
LHXTGQ657430804,The Riddler,"1887",0.9048,0.8609
DX1901793500,"ENIGMAS, CHARADES, &c.","1866",0.9048,0.8609
CC1903240655,OUR PUZZLES,"1900",0.9,0.8519
DX1901516860,OUR LITTLE FOLKS' OWN PUZZLES,"1895",0.9,0.8519
HKBYMS509418862,The Puzzler,"1870",0.9,0.8519
EVEQSW674750212,The Riddler,"1888",0.8989,0.8497
DX1901053053,PUZZLEDOM. BY MRS. BRODERIP,"1875",0.898,0.848
DX1901052651,PUZZLEDOM,"1873",0.8971,0.8464
DX1901070014,RIDDLE TOURNAMENT,"1886",0.8952,0.8427
DX1901722987,BIBLE ENIGMA,"1893",0.8947,0.8418
MLSITE862620561,Our Puzzle Department,"1873",0.8936,0.8397
UVKBEB395358834,The Puzzler,"1870",0.8919,0.8364
DX1901679161,CHARADES,"1872",0.8919,0.8364
FOYHSA399206801,The Puzzler,"1870",0.8909,0.8345
DX1901679289,Our Prize Department,"1872",0.8889,0.8307
DX1901733384,RIDDLES,"1863",0.8889,0.8307
XPPDGY079328193,Puzzles Riddles &c,"1878",0.8889,0.8307
DX1901105068,Crackers for the Ingenious,"1876",0.8889,0.8307
DX1901677439,A RIDDLE,"1845",0.8889,0.8307
CC1903259284,RECREATION COLUMN,"1870",0.8824,0.8182
DMAFGU865232627,Enigmatical and Amusing Exercises,"1863",0.8824,0.8182
CC1903267402,DOUBLE CHARADES,"1867",0.8824,0.8182
MSRTVF621045765,Puzzles Riddles,"1878",0.8824,0.8182
DX1901122557,Crackers for the Ingenious,"1867",0.8824,0.8182
CC1903256295,RECREATION COLUMN,"1871",0.8824,0.8182
DX1901065165,RIDDLE TOURNAMENT,"1885",0.881,0.8155
GBASBB602107889,The Riddler,"1888",0.881,0.8155
CC1903240464,OUR PUZZLES,"1899",0.88,0.8137
JYBBIP940672800,The Puzzler,"1869",0.88,0.8137
DX1901054213,OUr friend WOODENT CHERLIKETERNOE to-day takes the lead in the RIDDLE TOURNAMENT,"1880",0.8795,0.8128
DX1901723469,BIBLE ENIGMAS,"1894",0.8788,0.8114
DX1901244845,CHARADES,"1810",0.875,0.8042
DX1901678998,ENIGMA,"1867",0.875,0.8042
LOYHVM118717600,Puzzles Riddles,"1879",0.875,0.8042
CC1903243472,Charade,"1872",0.875,0.8042
